constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,yes,Yes,FALSE,Yes,"17,507",running,1,"966,751","68,538","68,245",293,"104,735"
Carlow-Kilkenny,1,no,No,FALSE,No,"50,738",elected,1,"966,751","68,538","68,245",293,"104,735"
Cavan-Monaghan,1,yes,Yes,FALSE,Yes,"14,167",running,1,"966,751","56,766","56,164",602,"99,265"
Cavan-Monaghan,1,no,No,FALSE,No,"41,997",elected,1,"966,751","56,766","56,164",602,"99,265"
Clare,1,yes,Yes,FALSE,Yes,"11,576",running,1,"966,751","48,615","48,209",406,"81,809"
Clare,1,no,No,FALSE,No,"36,633",elected,1,"966,751","48,615","48,209",406,"81,809"
Cork East,1,yes,Yes,FALSE,Yes,"12,290",running,1,"966,751","49,517","49,098",419,"81,271"
Cork East,1,no,No,FALSE,No,"36,808",elected,1,"966,751","49,517","49,098",419,"81,271"
Cork North-Central,1,yes,Yes,FALSE,Yes,"11,980",running,1,"966,751","45,063","44,605",458,"75,263"
Cork North-Central,1,no,No,FALSE,No,"32,625",elected,1,"966,751","45,063","44,605",458,"75,263"
Cork North-West,1,yes,Yes,FALSE,Yes,"8,860",running,1,"966,751","39,003","38,682",321,"62,143"
Cork North-West,1,no,No,FALSE,No,"29,822",elected,1,"966,751","39,003","38,682",321,"62,143"
Cork South-Central,1,yes,Yes,FALSE,Yes,"15,789",running,1,"966,751","59,008","58,588",420,"92,422"
Cork South-Central,1,no,No,FALSE,No,"42,799",elected,1,"966,751","59,008","58,588",420,"92,422"
Cork South-West,1,yes,Yes,FALSE,Yes,"8,733",running,1,"966,751","37,104","36,824",280,"60,141"
Cork South-West,1,no,No,FALSE,No,"28,091",elected,1,"966,751","37,104","36,824",280,"60,141"
Donegal North-East,1,yes,Yes,FALSE,Yes,"8,678",running,1,"966,751","30,728","30,475",253,"59,721"
Donegal North-East,1,no,No,FALSE,No,"21,797",elected,1,"966,751","30,728","30,475",253,"59,721"
Donegal South-West,1,yes,Yes,FALSE,Yes,"8,895",running,1,"966,751","32,051","31,752",299,"62,171"
Donegal South-West,1,no,No,FALSE,No,"22,857",elected,1,"966,751","32,051","31,752",299,"62,171"
Dublin Central,1,yes,Yes,FALSE,Yes,"12,012",running,1,"966,751","33,142","32,808",334,"57,193"
Dublin Central,1,no,No,FALSE,No,"20,796",elected,1,"966,751","33,142","32,808",334,"57,193"
Dublin Mid-West,1,yes,Yes,FALSE,Yes,"12,096",running,1,"966,751","42,529","42,185",344,"67,091"
Dublin Mid-West,1,no,No,FALSE,No,"30,089",elected,1,"966,751","42,529","42,185",344,"67,091"
Dublin North,1,yes,Yes,FALSE,Yes,"14,069",running,1,"966,751","47,728","47,427",301,"72,523"
