constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Kerry South,1,no,No,FALSE,No,"9,973",elected,1,"613,188","22,178","21,908",270,"56,532"
Kildare North,1,yes,Yes,FALSE,Yes,"13,890",running,1,"613,188","30,863","30,602",261,"75,043"
Kildare North,1,no,No,FALSE,No,"16,712",elected,1,"613,188","30,863","30,602",261,"75,043"
Kildare South,1,yes,Yes,FALSE,Yes,"9,649",running,1,"613,188","21,903","21,690",213,"57,454"
Kildare South,1,no,No,FALSE,No,"12,041",elected,1,"613,188","21,903","21,690",213,"57,454"
Laois-Offaly,1,yes,Yes,FALSE,Yes,"18,062",running,1,"613,188","39,616","39,170",446,"106,057"
Laois-Offaly,1,no,No,FALSE,No,"21,108",elected,1,"613,188","39,616","39,170",446,"106,057"
Limerick,1,yes,Yes,FALSE,Yes,"12,454",running,1,"613,188","25,036","24,687",349,"65,186"
Limerick,1,no,No,FALSE,No,"12,233",elected,1,"613,188","25,036","24,687",349,"65,186"
Limerick City,1,yes,Yes,FALSE,Yes,"12,831",running,1,"613,188","24,669","24,340",329,"64,909"
Limerick City,1,no,No,FALSE,No,"11,509",elected,1,"613,188","24,669","24,340",329,"64,909"
Longford-Westmeath,1,yes,Yes,FALSE,Yes,"15,911",running,1,"613,188","31,622","31,184",438,"85,791"
Longford-Westmeath,1,no,No,FALSE,No,"15,273",elected,1,"613,188","31,622","31,184",438,"85,791"
Louth,1,yes,Yes,FALSE,Yes,"18,278",running,1,"613,188","38,738","38,345",393,"102,088"
Louth,1,no,No,FALSE,No,"20,067",elected,1,"613,188","38,738","38,345",393,"102,088"
Mayo,1,yes,Yes,FALSE,Yes,"20,440",running,1,"613,188","36,030","35,573",457,"94,860"
Mayo,1,no,No,FALSE,No,"15,133",elected,1,"613,188","36,030","35,573",457,"94,860"
Meath East,1,yes,Yes,FALSE,Yes,"11,335",running,1,"613,188","24,089","23,904",185,"64,440"
Meath East,1,no,No,FALSE,No,"12,569",elected,1,"613,188","24,089","23,904",185,"64,440"
Meath West,1,yes,Yes,FALSE,Yes,"10,325",running,1,"613,188","22,533","22,259",274,"62,891"
Meath West,1,no,No,FALSE,No,"11,934",elected,1,"613,188","22,533","22,259",274,"62,891"
Roscommon-South Leitrim,1,yes,Yes,FALSE,Yes,"12,952",running,1,"613,188","25,375","25,066",309,"59,006"
Roscommon-South Leitrim,1,no,No,FALSE,No,"12,114",elected,1,"613,188","25,375","25,066",309,"59,006"
Sligo-North Leitrim,1,yes,Yes,FALSE,Yes,"11,988",running,1,"613,188","23,975","23,619",356,"60,228"
Sligo-North Leitrim,1,no,No,FALSE,No,"11,631",elected,1,"613,188","23,975","23,619",356,"60,228"
Tipperary North,1,yes,Yes,FALSE,Yes,"13,202",running,1,"613,188","26,620","26,203",417,"62,233"
Tipperary North,1,no,No,FALSE,No,"13,001",elected,1,"613,188","26,620","26,203",417,"62,233"
Tipperary South,1,yes,Yes,FALSE,Yes,"11,631",running,1,"613,188","23,386","23,075",311,"56,060"
Tipperary South,1,no,No,FALSE,No,"11,444",elected,1,"613,188","23,386","23,075",311,"56,060"
Waterford,1,yes,Yes,FALSE,Yes,"14,270",running,1,"613,188","31,107","30,661",446,"76,442"
Waterford,1,no,No,FALSE,No,"16,391",elected,1,"613,188","31,107","30,661",446,"76,442"
Wexford,1,yes,Yes,FALSE,Yes,"20,255",running,1,"613,188","41,158","40,579",579,"106,329"
Wexford,1,no,No,FALSE,No,"20,324",elected,1,"613,188","41,158","40,579",579,"106,329"
Wicklow,1,yes,Yes,FALSE,Yes,"17,857",running,1,"613,188","42,715","42,338",377,"94,932"
Wicklow,1,no,No,FALSE,No,"24,481",elected,1,"613,188","42,715","42,338",377,"94,932"
