election,constituency,party,votes,seats
2019,Dublin,SF,83264,1
2019,Dublin,FG,54676,1
2019,Dublin,FF,44283,
2019,Dublin,GP,44078,
2019,Dublin,IND,35939,1
2019,Dublin,SP,29953,
2019,Dublin,LAB,25961,
2019,Dublin,PBPS,23875,
2019,Dublin,IND,9399,
2019,Dublin,FS,1147,
2019,Midlands-North-West,SF,114727,1
2019,Midlands-North-West,FG,131988,1
2019,Midlands-North-West,FF,114946,
2019,Midlands-North-West,LAB,31951,
2019,Midlands-North-West,GP,9520,
2019,Midlands-North-West,IND,205158,2
2019,Midlands-North-West,FS,1829,
2019,Northern Ireland,SF,159813,1
2019,Northern Ireland,DUP,131163,1
2019,Northern Ireland,UUP,83438,1
2019,Northern Ireland,SDLP,81594,
2019,Northern Ireland,TUV,75806,
2019,Northern Ireland,AP,44432,
2019,Northern Ireland,UKIP,24584,
2019,Northern Ireland,GP,10598,
2019,Northern Ireland,NI21,10553,
2019,Northern Ireland,CON,4144,
2019,South,FF,210316,1
2019,South,SF,125309,1
2019,South,FG,182456,2
2019,South,LAB,30317,
2019,South,GP,27860,
2019,South,IND,89606,
2019,South,FS,1634,
