election,constituency,party,votes,seats
2016,Dublin Fingal,SF,0,
2016,Dublin Fingal,FG,0,
2016,Dublin Fingal,FF,0,
2016,Dublin Fingal,PBPS,0,
2016,Dublin Fingal,SD,0,
2016,Dublin Fingal,LAB,0,
2016,Dublin Fingal,WP,0,
2016,Dublin Fingal,GP,0,
2016,Dublin Fingal,IND,0,
2016,Dublin Fingal,I4C,0,
2016,Dublin Fingal,REN,0,
