election,constituency,party,votes,seats,,,,,,
,Dublin Mid-West,SD,2633,,,,,,,
,Dublin Mid-West,WP,502,,,,,,,
,Dublin North-West,PBPS,1434,,,,,,,
,Dublin North-West,FF,4750,,,,,,,
,Dublin North-West,FG,4642,1,,,,,,
,Dublin North-West,GP,915,,,,,,,
,Dublin North-West,IND,1278,,,,,,,
,Dublin North-West,LAB,2750,,,,,,,
,Dublin North-West,SF,10008,1,,,,,,
,Dublin North-West,SD,10540,1,,,,,,
,Dublin North-West,WP,692,,,,,,,
,Dublin Rathdown,FF,4220,1,,,,,,
,Dublin Rathdown,FG,12573,1,,,,,,
,Dublin Rathdown,GP,4122,,,,,,,
,Dublin Rathdown,IND,12223,1,,,,,,
,Dublin Rathdown,LAB,4048,,,,,,,
,Dublin Rathdown,REN,1055,,,,,,,
,Dublin Rathdown,SF,2858,,,,,,,
,Dublin South-Central,PBPS,4374,1,,,,,,
,Dublin South-Central,FF,5441,,,,,,,
,Dublin South-Central,FG,6130,1,,,,,,
,Dublin South-Central,GP,1410,,,,,,,
,Dublin South-Central,IND,2712,,,,,,,
,Dublin South-Central,I4C,6195,1,,,,,,
,Dublin South-Central,LAB,3297,,,,,,,
,Dublin South-Central,REN,893,,,,,,,
,Dublin South-Central,SF,9971,1,,,,,,
,Dublin South-Central,SD,2434,,,,,,,
,Dublin South-West,PBPS,12246,1,,,,,,
,Dublin South-West,FF,9647,1,,,,,,
,Dublin South-West,FG,14746,1,,,,,,
,Dublin South-West,GP,1297,,,,,,,
,Dublin South-West,IND,12461,1,,,,,,
,Dublin South-West,LAB,4378,,,,,,,
,Dublin South-West,REN,2906,,,,,,,
,Dublin South-West,SF,9590,1,,,,,,
,Dublin West,PBPS,6520,1,,,,,,
,Dublin West,FF,6917,1,,,,,,
,Dublin West,FG,9321,1,,,,,,
,Dublin West,GP,1730,,,,,,,
,Dublin West,IND,4308,,,,,,,
,Dublin West,LAB,6445,1,,,,,,
,Dublin West,REN,677,,,,,,,
,Dublin West,SF,6034,,,,,,,
,Dún Laoghaire,PBPS,9775,1,,,,,,
,Dún Laoghaire,FF,11143,,,,,,,
,Dún Laoghaire,FG,21306,3,,,,,,
,Dún Laoghaire,GP,3478,,,,,,,
,Dún Laoghaire,IND,3365,,,,,,,
,Dún Laoghaire,LAB,5192,,,,,,,
,Dún Laoghaire,REN,1812,,,,,,,
,Dún Laoghaire,SF,3167,,,,,,,
,Galway East,FF,12364,1,,,,,,
,Galway East,FG,13597,1,,,,,,
,Galway East,GP,769,,,,,,,
,Galway East,IND,11294,1,,,,,,
,Galway East,LAB,4531,,,,,,,
,Galway East,SF,2683,,,,,,,
,Galway West,PBPS,1017,,,,,,,
,Galway West,FF,15629,1,,,,,,
,Galway West,FG,15437,2,,,,,,
,Galway West,GP,1588,,,,,,,
,Galway West,IND,17176,2,,,,,,
,Galway West,LAB,3220,,,,,,,
,Galway West,REN,994,,,,,,,
,Galway West,SF,5755,,,,,,,
,Galway West,SD,3455,,,,,,,
,Kerry,PBPS,981,,,,,,,
,Kerry,FF,12504,1,,,,,,
,Kerry,FG,16939,1,,,,,,
,Kerry,GP,1011,,,,,,,
,Kerry,IND,32851,2,,,,,,
,Kerry,LAB,4813,,,,,,,
,Kerry,REN,716,,,,,,,
,Kerry,SF,10098,1,,,,,,
,Kildare North,PBPS,781,,,,,,,
,Kildare North,FF,13802,2,,,,,,
,Kildare North,FG,11553,1,,,,,,
,Kildare North,GP,1485,,,,,,,
,Kildare North,IND,1920,,,,,,,
,Kildare North,LAB,4087,,,,,,,
,Kildare North,REN,994,,,,,,,
,Kildare North,SF,3205,,,,,,,
,Kildare North,SD,11108,1,,,,,,
,Kildare South,FF,13375,2,,,,,,
,Kildare South,FG,11101,1,,,,,,
,Kildare South,GP,836,,,,,,,
,Kildare South,IND,2143,,,,,,,
,Kildare South,LAB,4277,,,,,,,
,Kildare South,REN,787,,,,,,,
,Kildare South,SF,4267,,,,,,,
,Laois-Offaly,FF,29386,2,,,,,,
,Laois-Offaly,FG,19441,2,,,,,,
,Laois-Offaly,GP,2066,,,,,,,
,Laois-Offaly,IND,12482,,,,,,,
,Laois-Offaly,LAB,2856,,,,,,,
,Laois-Offaly,REN,4596,,,,,,,
,Laois-Offaly,SF,13046,2,,,,,,
,Limerick City,PBPS,4584,,,,,,,
,Limerick City,FF,12999,1,,,,,,
,Limerick City,FG,13341,1,,,,,,
,Limerick City,GP,964,,,,,,,
,Limerick City,IND,1005,,,,,,,
,Limerick City,LAB,5227,1,,,,,,
,Limerick City,SF,5894,1,,,,,,
,Limerick City,SD,2747,,,,,,,
,Limerick County,FF,12276,1,,,,,,
,Limerick County,FG,16492,2,,,,,,
,Limerick County,GP,311,,,,,,,
,Limerick County,IND,8716,,,,,,,
,Limerick County,SF,3347,,,,,,,
,Limerick County,SD,3270,,,,,,,
,Longford-Westmeath,PBPS,506,,,,,,,
,Longford-Westmeath,FF,15599,1,,,,,,
,Longford-Westmeath,FG,13166,1,,,,,,
,Longford-Westmeath,GP,1104,,,,,,,
,Longford-Westmeath,IND,14803,1,,,,,,
,Longford-Westmeath,LAB,4822,1,,,,,,
,Longford-Westmeath,SF,5276,,,,,,,
,Louth,PBPS,3462,,,,,,,
,Louth,FF,12521,1,,,,,,
,Louth,FG,13222,2,,,,,,
,Louth,GP,3187,,,,,,,
,Louth,IND,7409,,,,,,,
,Louth,LAB,6143,,,,,,,
,Louth,REN,2095,,,,,,,
,Louth,SF,19490,2,,,,,,
,Mayo,PBPS,576,,,,,,,
,Mayo,FF,17633,2,,,,,,
,Mayo,FG,32434,2,,,,,,
,Mayo,GP,629,,,,,,,
,Mayo,IND,4386,,,,,,,
,Mayo,REN,1574,,,,,,,
,Mayo,SF,6414,,,,,,,
,Meath East,FF,10818,1,,,,,,
,Meath East,FG,14386,2,,,,,,
,Meath East,GP,766,,,,,,,
,Meath East,IND,4804,,,,,,,
,Meath East,LAB,2270,,,,,,,
,Meath East,REN,523,,,,,,,
,Meath East,SF,5780,,,,,,,
,Meath East,SD,1715,,,,,,,
,Meath East,WP,326,,,,,,,
,Meath West,FF,10585,1,,,,,,
,Meath West,FG,12555,1,,,,,,
,Meath West,GP,1421,,,,,,,
,Meath West,IND,3436,,,,,,,
,Meath West,LAB,1166,,,,,,,
,Meath West,SF,9442,1,,,,,,
,Roscommon-Galway,PBPS,982,,,,,,,
,Roscommon-Galway,FF,8819,1,,,,,,
,Roscommon-Galway,FG,6812,,,,,,,
,Roscommon-Galway,GP,286,,,,,,,
,Roscommon-Galway,IND,23975,2,,,,,,
