constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,electorate,turnout,tvp,spoilt
Rathmines West C,1,lynn boylan,Lynn Boylan,FALSE,SF,41,running,1,13442,1798,619,618,1
Rathmines West C,1,claire byrne,Claire Byrne,FALSE,GP,55,running,1,13442,1798,619,618,1
Rathmines West C,1,deirdre conroy,Deirdre Conroy,FALSE,FF,32,running,1,13442,1798,619,618,1
Rathmines West C,1,mannix flynn,Mannix Flynn,FALSE,IND,3,running,1,13442,1798,619,618,1
Rathmines West C,1,sarah durcan,Sarah Durcan,FALSE,SD,18,running,1,13442,1798,619,618,1
Rathmines West C,1,brigid purcell,Brigid Purcell,FALSE,PBPS,20,running,1,13442,1798,619,618,1
Rathmines West C,1,mairead toibin,Mairéad Tóibín,FALSE,AON,13,running,1,13442,1798,619,618,1
Rathmines West C,1,peter dooley,Peter Dooley,FALSE,IND,0,running,1,13442,1798,619,618,1
Rathmines West C,1,justin barrett,Justin Barrett,FALSE,NP,3,running,1,13442,1798,619,618,1
Rathmines West C,1,dolores cahill,Dolores Cahill,FALSE,IND,2,running,1,13442,1798,619,618,1
Rathmines West C,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,3,running,1,13442,1798,619,618,1
Rathmines West C,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,1798,619,618,1
Rathmines West C,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,1798,619,618,1
Rathmines West D,1,ivana bacik,Ivana Bacik,FALSE,LAB,276,running,1,13442,2337,783,775,8
Rathmines West D,1,james goeghegan,James Geoghegan,FALSE,FG,212,running,1,13442,2337,783,775,8
Rathmines West D,1,lynn boylan,Lynn Boylan,FALSE,SF,78,running,1,13442,2337,783,775,8
Rathmines West D,1,claire byrne,Claire Byrne,FALSE,GP,60,running,1,13442,2337,783,775,8
Rathmines West D,1,deirdre conroy,Deirdre Conroy,FALSE,FF,44,running,1,13442,2337,783,775,8
Rathmines West D,1,mannix flynn,Mannix Flynn,FALSE,IND,12,running,1,13442,2337,783,775,8
Rathmines West D,1,sarah durcan,Sarah Durcan,FALSE,SD,41,running,1,13442,2337,783,775,8
Rathmines West D,1,brigid purcell,Brigid Purcell,FALSE,PBPS,22,running,1,13442,2337,783,775,8
Rathmines West D,1,mairead toibin,Mairéad Tóibín,FALSE,AON,11,running,1,13442,2337,783,775,8
Rathmines West D,1,peter dooley,Peter Dooley,FALSE,IND,5,running,1,13442,2337,783,775,8
Rathmines West D,1,justin barrett,Justin Barrett,FALSE,NP,4,running,1,13442,2337,783,775,8
Rathmines West D,1,dolores cahill,Dolores Cahill,FALSE,IND,5,running,1,13442,2337,783,775,8
Rathmines West D,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,2,running,1,13442,2337,783,775,8
Rathmines West D,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2337,783,775,8
Rathmines West D,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,3,running,1,13442,2337,783,775,8
Rathmines West E,1,ivana bacik,Ivana Bacik,FALSE,LAB,335,running,1,13442,2481,941,938,3
Rathmines West E,1,james goeghegan,James Geoghegan,FALSE,FG,280,running,1,13442,2481,941,938,3
Rathmines West E,1,lynn boylan,Lynn Boylan,FALSE,SF,64,running,1,13442,2481,941,938,3
Rathmines West E,1,claire byrne,Claire Byrne,FALSE,GP,80,running,1,13442,2481,941,938,3
Rathmines West E,1,deirdre conroy,Deirdre Conroy,FALSE,FF,69,running,1,13442,2481,941,938,3
Rathmines West E,1,mannix flynn,Mannix Flynn,FALSE,IND,15,running,1,13442,2481,941,938,3
Rathmines West E,1,sarah durcan,Sarah Durcan,FALSE,SD,29,running,1,13442,2481,941,938,3
Rathmines West E,1,brigid purcell,Brigid Purcell,FALSE,PBPS,28,running,1,13442,2481,941,938,3
Rathmines West E,1,mairead toibin,Mairéad Tóibín,FALSE,AON,17,running,1,13442,2481,941,938,3
Rathmines West E,1,peter dooley,Peter Dooley,FALSE,IND,8,running,1,13442,2481,941,938,3
Rathmines West E,1,justin barrett,Justin Barrett,FALSE,NP,1,running,1,13442,2481,941,938,3
Rathmines West E,1,dolores cahill,Dolores Cahill,FALSE,IND,4,running,1,13442,2481,941,938,3
Rathmines West E,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,7,running,1,13442,2481,941,938,3
Rathmines West E,1,john keigher,John Keigher,FALSE,IND,1,running,1,13442,2481,941,938,3
Rathmines West E,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,2481,941,938,3
Rathmines West F,1,ivana bacik,Ivana Bacik,FALSE,LAB,274,running,1,13442,2221,721,715,6
Rathmines West F,1,james goeghegan,James Geoghegan,FALSE,FG,144,running,1,13442,2221,721,715,6
Rathmines West F,1,lynn boylan,Lynn Boylan,FALSE,SF,71,running,1,13442,2221,721,715,6
Rathmines West F,1,claire byrne,Claire Byrne,FALSE,GP,77,running,1,13442,2221,721,715,6
Rathmines West F,1,deirdre conroy,Deirdre Conroy,FALSE,FF,28,running,1,13442,2221,721,715,6
Rathmines West F,1,mannix flynn,Mannix Flynn,FALSE,IND,11,running,1,13442,2221,721,715,6
Rathmines West F,1,sarah durcan,Sarah Durcan,FALSE,SD,28,running,1,13442,2221,721,715,6
Rathmines West F,1,brigid purcell,Brigid Purcell,FALSE,PBPS,39,running,1,13442,2221,721,715,6
Rathmines West F,1,mairead toibin,Mairéad Tóibín,FALSE,AON,16,running,1,13442,2221,721,715,6
Rathmines West F,1,peter dooley,Peter Dooley,FALSE,IND,15,running,1,13442,2221,721,715,6
Rathmines West F,1,justin barrett,Justin Barrett,FALSE,NP,3,running,1,13442,2221,721,715,6
Rathmines West F,1,dolores cahill,Dolores Cahill,FALSE,IND,5,running,1,13442,2221,721,715,6
Rathmines West F,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,2,running,1,13442,2221,721,715,6
Rathmines West F,1,john keigher,John Keigher,FALSE,IND,2,running,1,13442,2221,721,715,6
Rathmines West F,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,2221,721,715,6
Royal Exchange A,1,ivana bacik,Ivana Bacik,FALSE,LAB,61,running,1,13442,1582,310,309,1
Royal Exchange A,1,james goeghegan,James Geoghegan,FALSE,FG,31,running,1,13442,1582,310,309,1
Royal Exchange A,1,lynn boylan,Lynn Boylan,FALSE,SF,123,running,1,13442,1582,310,309,1
Royal Exchange A,1,claire byrne,Claire Byrne,FALSE,GP,21,running,1,13442,1582,310,309,1
Royal Exchange A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,11,running,1,13442,1582,310,309,1
Royal Exchange A,1,mannix flynn,Mannix Flynn,FALSE,IND,26,running,1,13442,1582,310,309,1
Royal Exchange A,1,sarah durcan,Sarah Durcan,FALSE,SD,19,running,1,13442,1582,310,309,1
Royal Exchange A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,6,running,1,13442,1582,310,309,1
Royal Exchange A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,7,running,1,13442,1582,310,309,1
Royal Exchange A,1,peter dooley,Peter Dooley,FALSE,IND,2,running,1,13442,1582,310,309,1
Royal Exchange A,1,justin barrett,Justin Barrett,FALSE,NP,0,running,1,13442,1582,310,309,1
Royal Exchange A,1,dolores cahill,Dolores Cahill,FALSE,IND,0,running,1,13442,1582,310,309,1
Royal Exchange A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,2,running,1,13442,1582,310,309,1
Royal Exchange A,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,1582,310,309,1
Royal Exchange A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,1582,310,309,1
Royal Exchange B,1,ivana bacik,Ivana Bacik,FALSE,LAB,14,running,1,13442,870,235,225,10
Royal Exchange B,1,james goeghegan,James Geoghegan,FALSE,FG,8,running,1,13442,870,235,225,10
Royal Exchange B,1,lynn boylan,Lynn Boylan,FALSE,SF,153,running,1,13442,870,235,225,10
Royal Exchange B,1,claire byrne,Claire Byrne,FALSE,GP,7,running,1,13442,870,235,225,10
Royal Exchange B,1,deirdre conroy,Deirdre Conroy,FALSE,FF,2,running,1,13442,870,235,225,10
Royal Exchange B,1,mannix flynn,Mannix Flynn,FALSE,IND,22,running,1,13442,870,235,225,10
Royal Exchange B,1,sarah durcan,Sarah Durcan,FALSE,SD,2,running,1,13442,870,235,225,10
Royal Exchange B,1,brigid purcell,Brigid Purcell,FALSE,PBPS,6,running,1,13442,870,235,225,10
Royal Exchange B,1,mairead toibin,Mairéad Tóibín,FALSE,AON,2,running,1,13442,870,235,225,10
Royal Exchange B,1,peter dooley,Peter Dooley,FALSE,IND,4,running,1,13442,870,235,225,10
Royal Exchange B,1,justin barrett,Justin Barrett,FALSE,NP,3,running,1,13442,870,235,225,10
Royal Exchange B,1,dolores cahill,Dolores Cahill,FALSE,IND,0,running,1,13442,870,235,225,10
Royal Exchange B,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,2,running,1,13442,870,235,225,10
Royal Exchange B,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,870,235,225,10
Royal Exchange B,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,870,235,225,10
South Dock,1,ivana bacik,Ivana Bacik,FALSE,LAB,208,running,1,13442,3447,821,817,4
South Dock,1,james goeghegan,James Geoghegan,FALSE,FG,104,running,1,13442,3447,821,817,4
South Dock,1,lynn boylan,Lynn Boylan,FALSE,SF,285,running,1,13442,3447,821,817,4
South Dock,1,claire byrne,Claire Byrne,FALSE,GP,74,running,1,13442,3447,821,817,4
South Dock,1,deirdre conroy,Deirdre Conroy,FALSE,FF,28,running,1,13442,3447,821,817,4
South Dock,1,mannix flynn,Mannix Flynn,FALSE,IND,20,running,1,13442,3447,821,817,4
South Dock,1,sarah durcan,Sarah Durcan,FALSE,SD,30,running,1,13442,3447,821,817,4
South Dock,1,brigid purcell,Brigid Purcell,FALSE,PBPS,22,running,1,13442,3447,821,817,4
South Dock,1,mairead toibin,Mairéad Tóibín,FALSE,AON,16,running,1,13442,3447,821,817,4
South Dock,1,peter dooley,Peter Dooley,FALSE,IND,4,running,1,13442,3447,821,817,4
South Dock,1,justin barrett,Justin Barrett,FALSE,NP,11,running,1,13442,3447,821,817,4
South Dock,1,dolores cahill,Dolores Cahill,FALSE,IND,7,running,1,13442,3447,821,817,4
South Dock,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,5,running,1,13442,3447,821,817,4
South Dock,1,john keigher,John Keigher,FALSE,IND,1,running,1,13442,3447,821,817,4
South Dock,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,2,running,1,13442,3447,821,817,4
St Kevins,1,ivana bacik,Ivana Bacik,FALSE,LAB,167,running,1,13442,2064,422,419,3
St Kevins,1,james goeghegan,James Geoghegan,FALSE,FG,38,running,1,13442,2064,422,419,3
St Kevins,1,lynn boylan,Lynn Boylan,FALSE,SF,66,running,1,13442,2064,422,419,3
St Kevins,1,claire byrne,Claire Byrne,FALSE,GP,39,running,1,13442,2064,422,419,3
St Kevins,1,deirdre conroy,Deirdre Conroy,FALSE,FF,15,running,1,13442,2064,422,419,3
St Kevins,1,mannix flynn,Mannix Flynn,FALSE,IND,22,running,1,13442,2064,422,419,3
St Kevins,1,sarah durcan,Sarah Durcan,FALSE,SD,18,running,1,13442,2064,422,419,3
St Kevins,1,brigid purcell,Brigid Purcell,FALSE,PBPS,17,running,1,13442,2064,422,419,3
St Kevins,1,mairead toibin,Mairéad Tóibín,FALSE,AON,16,running,1,13442,2064,422,419,3
St Kevins,1,peter dooley,Peter Dooley,FALSE,IND,9,running,1,13442,2064,422,419,3
St Kevins,1,justin barrett,Justin Barrett,FALSE,NP,2,running,1,13442,2064,422,419,3
St Kevins,1,dolores cahill,Dolores Cahill,FALSE,IND,4,running,1,13442,2064,422,419,3
St Kevins,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,6,running,1,13442,2064,422,419,3
St Kevins,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2064,422,419,3
St Kevins,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,2064,422,419,3
Terenure A,1,ivana bacik,Ivana Bacik,FALSE,LAB,407,running,1,13442,2735,1168,1157,11
Terenure A,1,james goeghegan,James Geoghegan,FALSE,FG,209,running,1,13442,2735,1168,1157,11
Terenure A,1,lynn boylan,Lynn Boylan,FALSE,SF,127,running,1,13442,2735,1168,1157,11
Terenure A,1,claire byrne,Claire Byrne,FALSE,GP,117,running,1,13442,2735,1168,1157,11
Terenure A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,60,running,1,13442,2735,1168,1157,11
Terenure A,1,mannix flynn,Mannix Flynn,FALSE,IND,14,running,1,13442,2735,1168,1157,11
Terenure A,1,sarah durcan,Sarah Durcan,FALSE,SD,67,running,1,13442,2735,1168,1157,11
Terenure A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,34,running,1,13442,2735,1168,1157,11
Terenure A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,40,running,1,13442,2735,1168,1157,11
Terenure A,1,peter dooley,Peter Dooley,FALSE,IND,54,running,1,13442,2735,1168,1157,11
Terenure A,1,justin barrett,Justin Barrett,FALSE,NP,4,running,1,13442,2735,1168,1157,11
Terenure A,1,dolores cahill,Dolores Cahill,FALSE,IND,12,running,1,13442,2735,1168,1157,11
Terenure A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,11,running,1,13442,2735,1168,1157,11
Terenure A,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2735,1168,1157,11
Terenure A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,1,running,1,13442,2735,1168,1157,11
Terenure B,1,ivana bacik,Ivana Bacik,FALSE,LAB,410,running,1,13442,2684,1217,1211,6
Terenure B,1,james goeghegan,James Geoghegan,FALSE,FG,256,running,1,13442,2684,1217,1211,6
Terenure B,1,lynn boylan,Lynn Boylan,FALSE,SF,177,running,1,13442,2684,1217,1211,6
Terenure B,1,claire byrne,Claire Byrne,FALSE,GP,96,running,1,13442,2684,1217,1211,6
Terenure B,1,deirdre conroy,Deirdre Conroy,FALSE,FF,51,running,1,13442,2684,1217,1211,6
Terenure B,1,mannix flynn,Mannix Flynn,FALSE,IND,26,running,1,13442,2684,1217,1211,6
Terenure B,1,sarah durcan,Sarah Durcan,FALSE,SD,67,running,1,13442,2684,1217,1211,6
Terenure B,1,brigid purcell,Brigid Purcell,FALSE,PBPS,34,running,1,13442,2684,1217,1211,6
Terenure B,1,mairead toibin,Mairéad Tóibín,FALSE,AON,43,running,1,13442,2684,1217,1211,6
Terenure B,1,peter dooley,Peter Dooley,FALSE,IND,26,running,1,13442,2684,1217,1211,6
Terenure B,1,justin barrett,Justin Barrett,FALSE,NP,14,running,1,13442,2684,1217,1211,6
Terenure B,1,dolores cahill,Dolores Cahill,FALSE,IND,4,running,1,13442,2684,1217,1211,6
Terenure B,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,5,running,1,13442,2684,1217,1211,6
Terenure B,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2684,1217,1211,6
Terenure B,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,2,running,1,13442,2684,1217,1211,6
Terenure C,1,ivana bacik,Ivana Bacik,FALSE,LAB,214,running,1,13442,1505,704,702,2
Terenure C,1,james goeghegan,James Geoghegan,FALSE,FG,260,running,1,13442,1505,704,702,2
Terenure C,1,lynn boylan,Lynn Boylan,FALSE,SF,42,running,1,13442,1505,704,702,2
Terenure C,1,claire byrne,Claire Byrne,FALSE,GP,52,running,1,13442,1505,704,702,2
Terenure C,1,deirdre conroy,Deirdre Conroy,FALSE,FF,42,running,1,13442,1505,704,702,2
Terenure C,1,mannix flynn,Mannix Flynn,FALSE,IND,6,running,1,13442,1505,704,702,2
Terenure C,1,sarah durcan,Sarah Durcan,FALSE,SD,16,running,1,13442,1505,704,702,2
Terenure C,1,brigid purcell,Brigid Purcell,FALSE,PBPS,17,running,1,13442,1505,704,702,2
Terenure C,1,mairead toibin,Mairéad Tóibín,FALSE,AON,33,running,1,13442,1505,704,702,2
Terenure C,1,peter dooley,Peter Dooley,FALSE,IND,1,running,1,13442,1505,704,702,2
Terenure C,1,justin barrett,Justin Barrett,FALSE,NP,3,running,1,13442,1505,704,702,2
Terenure C,1,dolores cahill,Dolores Cahill,FALSE,IND,9,running,1,13442,1505,704,702,2
Terenure C,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,6,running,1,13442,1505,704,702,2
Terenure C,1,john keigher,John Keigher,FALSE,IND,1,running,1,13442,1505,704,702,2
Terenure C,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,1505,704,702,2
Terenure D,1,ivana bacik,Ivana Bacik,FALSE,LAB,86,running,1,13442,694,304,303,1
Terenure D,1,james goeghegan,James Geoghegan,FALSE,FG,127,running,1,13442,694,304,303,1
Terenure D,1,lynn boylan,Lynn Boylan,FALSE,SF,10,running,1,13442,694,304,303,1
Terenure D,1,claire byrne,Claire Byrne,FALSE,GP,31,running,1,13442,694,304,303,1
Terenure D,1,deirdre conroy,Deirdre Conroy,FALSE,FF,20,running,1,13442,694,304,303,1
Terenure D,1,mannix flynn,Mannix Flynn,FALSE,IND,1,running,1,13442,694,304,303,1
Terenure D,1,sarah durcan,Sarah Durcan,FALSE,SD,3,running,1,13442,694,304,303,1
Terenure D,1,brigid purcell,Brigid Purcell,FALSE,PBPS,3,running,1,13442,694,304,303,1
Terenure D,1,mairead toibin,Mairéad Tóibín,FALSE,AON,16,running,1,13442,694,304,303,1
Terenure D,1,peter dooley,Peter Dooley,FALSE,IND,2,running,1,13442,694,304,303,1
Terenure D,1,justin barrett,Justin Barrett,FALSE,NP,2,running,1,13442,694,304,303,1
Terenure D,1,dolores cahill,Dolores Cahill,FALSE,IND,1,running,1,13442,694,304,303,1
Terenure D,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,1,running,1,13442,694,304,303,1
Terenure D,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,694,304,303,1
Terenure D,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,694,304,303,1
Wood Quay A,1,ivana bacik,Ivana Bacik,FALSE,LAB,44,running,1,13442,1696,395,385,10
Wood Quay A,1,james goeghegan,James Geoghegan,FALSE,FG,14,running,1,13442,1696,395,385,10
Wood Quay A,1,lynn boylan,Lynn Boylan,FALSE,SF,237,running,1,13442,1696,395,385,10
Wood Quay A,1,claire byrne,Claire Byrne,FALSE,GP,11,running,1,13442,1696,395,385,10
Wood Quay A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,14,running,1,13442,1696,395,385,10
Wood Quay A,1,mannix flynn,Mannix Flynn,FALSE,IND,23,running,1,13442,1696,395,385,10
Wood Quay A,1,sarah durcan,Sarah Durcan,FALSE,SD,5,running,1,13442,1696,395,385,10
Wood Quay A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,15,running,1,13442,1696,395,385,10
Wood Quay A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,9,running,1,13442,1696,395,385,10
Wood Quay A,1,peter dooley,Peter Dooley,FALSE,IND,1,running,1,13442,1696,395,385,10
Wood Quay A,1,justin barrett,Justin Barrett,FALSE,NP,5,running,1,13442,1696,395,385,10
Wood Quay A,1,dolores cahill,Dolores Cahill,FALSE,IND,3,running,1,13442,1696,395,385,10
Wood Quay A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,3,running,1,13442,1696,395,385,10
Wood Quay A,1,john keigher,John Keigher,FALSE,IND,1,running,1,13442,1696,395,385,10
Wood Quay A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,1696,395,385,10
Wood Quay B,1,ivana bacik,Ivana Bacik,FALSE,LAB,344,running,1,13442,2594,701,696,5
Wood Quay B,1,james goeghegan,James Geoghegan,FALSE,FG,65,running,1,13442,2594,701,696,5
Wood Quay B,1,lynn boylan,Lynn Boylan,FALSE,SF,91,running,1,13442,2594,701,696,5
Wood Quay B,1,claire byrne,Claire Byrne,FALSE,GP,82,running,1,13442,2594,701,696,5
Wood Quay B,1,deirdre conroy,Deirdre Conroy,FALSE,FF,19,running,1,13442,2594,701,696,5
Wood Quay B,1,mannix flynn,Mannix Flynn,FALSE,IND,25,running,1,13442,2594,701,696,5
Wood Quay B,1,sarah durcan,Sarah Durcan,FALSE,SD,20,running,1,13442,2594,701,696,5
Wood Quay B,1,brigid purcell,Brigid Purcell,FALSE,PBPS,26,running,1,13442,2594,701,696,5
Wood Quay B,1,mairead toibin,Mairéad Tóibín,FALSE,AON,12,running,1,13442,2594,701,696,5
Wood Quay B,1,peter dooley,Peter Dooley,FALSE,IND,3,running,1,13442,2594,701,696,5
Wood Quay B,1,justin barrett,Justin Barrett,FALSE,NP,1,running,1,13442,2594,701,696,5
Wood Quay B,1,dolores cahill,Dolores Cahill,FALSE,IND,5,running,1,13442,2594,701,696,5
Wood Quay B,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,2,running,1,13442,2594,701,696,5
Wood Quay B,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2594,701,696,5
Wood Quay B,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,1,running,1,13442,2594,701,696,5
