election,constituency,party,votes,seats
2021,Dublin Bay South,GP,8888,
2021,Dublin Bay South,SF,6361,
2021,Dublin Bay South,FG,10970,
2021,Dublin Bay South,FF,5474,
2021,Dublin Bay South,LAB,3121,
2021,Dublin Bay South,SD,1801,
2021,Dublin Bay South,PBPS,1002,
2021,Dublin Bay South,REN,634,
2021,Dublin Bay South,IFP,245,
2021,Dublin Bay South,IND,1095,
