constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin Mid-West,4,annemarie mcnally,Anne-Marie McNally,FALSE,SD,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,4,david gardiner,David Gardiner,FALSE,WP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,4,ruth nolan,Ruth Nolan,FALSE,I4C,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,4,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,4,peter madden,Peter Madden,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,mark ward,Mark Ward,FALSE,SF,5426,running,1,9619,19447,19237,210,73152
Dublin Mid-West,5,emer higgins,Emer Higgins,FALSE,FG,3959,running,1,9619,19447,19237,210,73152
Dublin Mid-West,5,paul gogarty,Paul Gogarty,FALSE,IND,3176,running,1,9619,19447,19237,210,73152
Dublin Mid-West,5,shane moynihan,Shane Moynihan,FALSE,FF,2564,running,1,9619,19447,19237,210,73152
Dublin Mid-West,5,francis timmons,Francis Timmons,FALSE,IND,1807,running,1,9619,19447,19237,210,73152
Dublin Mid-West,5,joanna tuffy,Joanna Tuffy,FALSE,LAB,1775,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,peter kavanagh,Peter Kavanagh,FALSE,GP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,kellie sweeney,Kellie Sweeney,FALSE,PBPS,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,annemarie mcnally,Anne-Marie McNally,FALSE,SD,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,david gardiner,David Gardiner,FALSE,WP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,ruth nolan,Ruth Nolan,FALSE,I4C,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,5,peter madden,Peter Madden,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,mark ward,Mark Ward,FALSE,SF,5616,running,1,9619,19447,19237,210,73152
Dublin Mid-West,6,emer higgins,Emer Higgins,FALSE,FG,4362,running,1,9619,19447,19237,210,73152
Dublin Mid-West,6,paul gogarty,Paul Gogarty,FALSE,IND,3731,running,1,9619,19447,19237,210,73152
Dublin Mid-West,6,shane moynihan,Shane Moynihan,FALSE,FF,2758,running,1,9619,19447,19237,210,73152
Dublin Mid-West,6,francis timmons,Francis Timmons,FALSE,IND,1929,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,joanna tuffy,Joanna Tuffy,FALSE,LAB,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,peter kavanagh,Peter Kavanagh,FALSE,GP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,kellie sweeney,Kellie Sweeney,FALSE,PBPS,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,annemarie mcnally,Anne-Marie McNally,FALSE,SD,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,david gardiner,David Gardiner,FALSE,WP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,ruth nolan,Ruth Nolan,FALSE,I4C,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,6,peter madden,Peter Madden,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,mark ward,Mark Ward,FALSE,SF,6293,running,1,9619,19447,19237,210,73152
Dublin Mid-West,7,emer higgins,Emer Higgins,FALSE,FG,4583,running,1,9619,19447,19237,210,73152
Dublin Mid-West,7,paul gogarty,Paul Gogarty,FALSE,IND,4099,running,1,9619,19447,19237,210,73152
Dublin Mid-West,7,shane moynihan,Shane Moynihan,FALSE,FF,2894,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,francis timmons,Francis Timmons,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,joanna tuffy,Joanna Tuffy,FALSE,LAB,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,peter kavanagh,Peter Kavanagh,FALSE,GP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,kellie sweeney,Kellie Sweeney,FALSE,PBPS,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,annemarie mcnally,Anne-Marie McNally,FALSE,SD,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,david gardiner,David Gardiner,FALSE,WP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,ruth nolan,Ruth Nolan,FALSE,I4C,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,7,peter madden,Peter Madden,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,mark ward,Mark Ward,FALSE,SF,6652,running,1,9619,19447,19237,210,73152
Dublin Mid-West,8,emer higgins,Emer Higgins,FALSE,FG,5287,running,1,9619,19447,19237,210,73152
Dublin Mid-West,8,paul gogarty,Paul Gogarty,FALSE,IND,5063,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,shane moynihan,Shane Moynihan,FALSE,FF,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,francis timmons,Francis Timmons,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,joanna tuffy,Joanna Tuffy,FALSE,LAB,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,peter kavanagh,Peter Kavanagh,FALSE,GP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,kellie sweeney,Kellie Sweeney,FALSE,PBPS,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,annemarie mcnally,Anne-Marie McNally,FALSE,SD,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,david gardiner,David Gardiner,FALSE,WP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,ruth nolan,Ruth Nolan,FALSE,I4C,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,8,peter madden,Peter Madden,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,mark ward,Mark Ward,FALSE,SF,7669,elected,1,9619,19447,19237,210,73152
Dublin Mid-West,9,emer higgins,Emer Higgins,FALSE,FG,7144,running,1,9619,19447,19237,210,73152
Dublin Mid-West,9,paul gogarty,Paul Gogarty,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,shane moynihan,Shane Moynihan,FALSE,FF,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,francis timmons,Francis Timmons,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,joanna tuffy,Joanna Tuffy,FALSE,LAB,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,peter kavanagh,Peter Kavanagh,FALSE,GP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,kellie sweeney,Kellie Sweeney,FALSE,PBPS,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,annemarie mcnally,Anne-Marie McNally,FALSE,SD,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,david gardiner,David Gardiner,FALSE,WP,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,ruth nolan,Ruth Nolan,FALSE,I4C,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,9,peter madden,Peter Madden,FALSE,IND,,eliminated,1,9619,19447,19237,210,73152
