election,constituency,party,votes,seats
2020,Dublin Mid-West,SF,9782,
2020,Dublin Mid-West,FG,11365,
2020,Dublin Mid-West,FF,6971,
2020,Dublin Mid-West,PBPS,4629,
2020,Dublin Mid-West,SD,2633,
2020,Dublin Mid-West,LAB,2146,
2020,Dublin Mid-West,WP,502,
2020,Dublin Mid-West,GP,388,
2020,Dublin Mid-West,IND,4688,
