constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,yes,Yes,FALSE,Yes,"30,438",elected,1,"733,729","49,973","49,137",836,"108,863"
Carlow-Kilkenny,1,no,No,FALSE,No,"18,699",running,1,"733,729","49,973","49,137",836,"108,863"
Cavan-Monaghan,1,yes,Yes,FALSE,Yes,"21,045",elected,1,"733,729","38,303","37,507",796,"91,692"
Cavan-Monaghan,1,no,No,FALSE,No,"16,462",running,1,"733,729","38,303","37,507",796,"91,692"
Clare,1,yes,Yes,FALSE,Yes,"25,386",elected,1,"733,729","41,776","41,021",755,"83,044"
Clare,1,no,No,FALSE,No,"15,635",running,1,"733,729","41,776","41,021",755,"83,044"
Cork East,1,yes,Yes,FALSE,Yes,"23,751",elected,1,"733,729","38,375","37,797",578,"86,180"
Cork East,1,no,No,FALSE,No,"4,046",running,1,"733,729","38,375","37,797",578,"86,180"
Cork North-Central,1,yes,Yes,FALSE,Yes,"22,379",elected,1,"733,729","35,287","34,831",456,"84,919"
Cork North-Central,1,no,No,FALSE,No,"12,452",running,1,"733,729","35,287","34,831",456,"84,919"
Cork North-West,1,yes,Yes,FALSE,Yes,"20,086",elected,1,"733,729","34,506","33,794",712,"68,820"
Cork North-West,1,no,No,FALSE,No,"13,708",running,1,"733,729","34,506","33,794",712,"68,820"
Cork South-Central,1,yes,Yes,FALSE,Yes,"27,381",elected,1,"733,729","40,403","39,969",434,"88,074"
Cork South-Central,1,no,No,FALSE,No,"12,588",running,1,"733,729","40,403","39,969",434,"88,074"
Cork South-West,1,yes,Yes,FALSE,Yes,"18,800",elected,1,"733,729","30,879","30,204",675,"63,897"
Cork South-West,1,no,No,FALSE,No,"11,404",running,1,"733,729","30,879","30,204",675,"63,897"
Donegal,1,yes,Yes,FALSE,Yes,"20,312",elected,1,"733,729","40,187","39,420",767,"119,318"
Donegal,1,no,No,FALSE,No,"19,108",running,1,"733,729","40,187","39,420",767,"119,318"
Dublin Bay North,1,yes,Yes,FALSE,Yes,"36,649",elected,1,"733,729","51,060","50,579",481,"114,597"
Dublin Bay North,1,no,No,FALSE,No,"13,930",running,1,"733,729","51,060","50,579",481,"114,597"
