year,constituency,party,votes,seats
2019,West Tyrone,SF,22060,1
2019,West Tyrone,DUP,11718,
2019,West Tyrone,SDLP,5635,
2019,West Tyrone,UP,2253,
2019,West Tyrone,AP,1000,
2019,West Tyrone,GP,427,
2019,West Tyrone,CISTA,393,
