constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate,,,,,,,,,,,,,,,,,
Dublin,4,brid smith,Bríd Smith,FALSE,PBP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,4,tom darcy,Tom D'Arcy,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,4,raymond whitehead,Raymond Whitehead,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,4,jim tallon,Jim Tallon,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,4,damon wise,Damon Wise,FALSE,FS,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,lynn boylan,Lynn Boylan,FALSE,SF,"89,764",elected,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,brian hayes,Brian Hayes,FALSE,FG,"65,132",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,mary fitzpatrick,Mary Fitzpatrick,FALSE,FF,"50,585",eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,eamon ryan,Eamon Ryan,FALSE,GP,"59,803",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,nessa childers,Nessa Childers,FALSE,IND,"59,955",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,paul murphy,Paul Murphy,FALSE,SP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,emer costello,Emer Costello,FALSE,LAB,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,brid smith,Bríd Smith,FALSE,PBP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,tom darcy,Tom D'Arcy,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,raymond whitehead,Raymond Whitehead,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,jim tallon,Jim Tallon,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,5,damon wise,Damon Wise,FALSE,FS,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,lynn boylan,Lynn Boylan,FALSE,SF,"89,764",elected,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,brian hayes,Brian Hayes,FALSE,FG,"73,317",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,mary fitzpatrick,Mary Fitzpatrick,FALSE,FF,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,eamon ryan,Eamon Ryan,FALSE,GP,"71,909",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,nessa childers,Nessa Childers,FALSE,IND,"72,413",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,paul murphy,Paul Murphy,FALSE,SP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,emer costello,Emer Costello,FALSE,LAB,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,brid smith,Bríd Smith,FALSE,PBP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,tom darcy,Tom D'Arcy,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,raymond whitehead,Raymond Whitehead,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,jim tallon,Jim Tallon,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,6,damon wise,Damon Wise,FALSE,FS,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,lynn boylan,Lynn Boylan,FALSE,SF,,elected,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,brian hayes,Brian Hayes,FALSE,FG,"73,405",elected,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,mary fitzpatrick,Mary Fitzpatrick,FALSE,FF,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,eamon ryan,Eamon Ryan,FALSE,GP,"72,256",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,nessa childers,Nessa Childers,FALSE,IND,"73,598",elected,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,paul murphy,Paul Murphy,FALSE,SP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,emer costello,Emer Costello,FALSE,LAB,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,brid smith,Bríd Smith,FALSE,PBP,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,tom darcy,Tom D'Arcy,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,raymond whitehead,Raymond Whitehead,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,jim tallon,Jim Tallon,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,7,damon wise,Damon Wise,FALSE,FS,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Midlands-North-West,1,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"124,063",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,matt carthy,Matt Carthy,FALSE,SF,"114,727",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,mairead mcguinness,Mairead McGuinness,TRUE,FG,"92,080",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,marian harkin,Marian Harkin,TRUE,IND,"68,986",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"59,562",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,thomas byrne,Thomas Byrne,FALSE,FF,"55,384",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,jim higgins,Jim Higgins,TRUE,FG,"39,908",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,ronan mullen,Rónán Mullen,FALSE,IND,"36,326",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,lorraine higgins,Lorraine Higgins,FALSE,LAB,"31,951",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,mark dearey,Mark Dearey,FALSE,GP,"9,520",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,ben gilroy,Ben Gilroy,FALSE,IND,"7,683",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,mark fitzsimons,Mark Fitzsimons,FALSE,IND,"2,424",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,tj fay,T.J. Fay,FALSE,IND,"2,002",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,1,cordelia nicfhearraigh,Cordelia Níc Fhearraigh,FALSE,FS,"1,829",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"129,561",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,matt carthy,Matt Carthy,FALSE,SF,"117,670",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,mairead mcguinness,Mairead McGuinness,TRUE,FG,"94,019",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,marian harkin,Marian Harkin,TRUE,IND,"72,045",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"60,466",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,thomas byrne,Thomas Byrne,FALSE,FF,"56,528",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,jim higgins,Jim Higgins,TRUE,FG,"40,462",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,ronan mullen,Rónán Mullen,FALSE,IND,"38,260",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,lorraine higgins,Lorraine Higgins,FALSE,LAB,"33,744",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,mark dearey,Mark Dearey,FALSE,GP,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
