year,constituency,party,votes,seats
2024,Galway West,SF,8164,
2024,Galway West,FF,10121,
2024,Galway West,IND,15905,
2024,Galway West,FG,11346,
2024,Galway West,INDIRL,5700,
2024,Galway West,SD,2172,
2024,Galway West,LAB,1973,
2024,Galway West,GP,1839,
2024,Galway West,AON,1233,
2024,Galway West,PBPS,905,
2024,Galway West,IPP,469,
2024,Galway West,IFP,450,
