year,constituency,party,votes,seats
2024,Ballynacourty,GP,64,
,,,,
2024,Ballynacourty,LP,35,
2024,Ballynacourty,SD,58,
2024,Ballynacourty,PBPS,8,
2024,Ballynacourty,AON,25,
2024,Ballynacourty,INDIRL,25,
2024,Ballynacourty,IPP,10,
2024,Ballynacourty,IFP,11,
2024,Ballynacourty,IND,351,
2024,Ballynakill,FF,40,
2024,Ballynakill,FG,47,
2024,Ballynakill,SF,46,
2024,Ballynakill,GP,5,
,,,,
2024,Ballynakill,LP,4,
2024,Ballynakill,SD,11,
2024,Ballynakill,PBPS,4,
2024,Ballynakill,AON,5,
2024,Ballynakill,INDIRL,29,
2024,Ballynakill,IPP,8,
2024,Ballynakill,IFP,2,
2024,Ballynakill,IND,38,
2024,Barna (City),FF,"1,217",
2024,Barna (City),FG,982,
2024,Barna (City),SF,562,
2024,Barna (City),GP,258,
,,,,
2024,Barna (City),LP,208,
2024,Barna (City),SD,269,
2024,Barna (City),PBPS,82,
2024,Barna (City),AON,158,
2024,Barna (City),INDIRL,162,
2024,Barna (City),IPP,42,
2024,Barna (City),IFP,44,
2024,Barna (City),IND,"1,166",
2024,Barna (County),FF,674,
2024,Barna (County),FG,432,
2024,Barna (County),SF,139,
2024,Barna (County),GP,91,
,,,,
2024,Barna (County),LP,69,
2024,Barna (County),SD,79,
2024,Barna (County),PBPS,17,
2024,Barna (County),AON,39,
2024,Barna (County),INDIRL,114,
2024,Barna (County),IPP,8,
2024,Barna (County),IFP,6,
2024,Barna (County),IND,332,
2024,Binn an Choire,FF,25,
2024,Binn an Choire,FG,15,
2024,Binn an Choire,SF,8,
2024,Binn an Choire,GP,2,
,,,,
2024,Binn an Choire,LP,1,
2024,Binn an Choire,SD,0,
2024,Binn an Choire,PBPS,1,
2024,Binn an Choire,AON,0,
2024,Binn an Choire,INDIRL,18,
2024,Binn an Choire,IPP,0,
2024,Binn an Choire,IFP,4,
2024,Binn an Choire,IND,19,
2024,Bunowen,FF,71,
2024,Bunowen,FG,81,
2024,Bunowen,SF,48,
2024,Bunowen,GP,1,
,,,,
2024,Bunowen,LP,0,
2024,Bunowen,SD,4,
2024,Bunowen,PBPS,4,
2024,Bunowen,AON,1,
2024,Bunowen,INDIRL,56,
2024,Bunowen,IPP,0,
2024,Bunowen,IFP,1,
2024,Bunowen,IND,33,
2024,Camas,FF,29,
2024,Camas,FG,10,
2024,Camas,SF,39,
2024,Camas,GP,1,
,,,,
2024,Camas,LP,1,
2024,Camas,SD,0,
2024,Camas,PBPS,1,
2024,Camas,AON,4,
2024,Camas,INDIRL,18,
2024,Camas,IPP,0,
2024,Camas,IFP,0,
2024,Camas,IND,19,
2024,Castlegar,FF,218,
2024,Castlegar,FG,181,
2024,Castlegar,SF,240,
2024,Castlegar,GP,18,
,,,,
2024,Castlegar,LP,77,
2024,Castlegar,SD,36,
2024,Castlegar,PBPS,22,
2024,Castlegar,AON,27,
2024,Castlegar,INDIRL,81,
2024,Castlegar,IPP,6,
2024,Castlegar,IFP,16,
2024,Castlegar,IND,323,
2024,Ceathrú an Bhrúnaigh,FF,110,
2024,Ceathrú an Bhrúnaigh,FG,80,
2024,Ceathrú an Bhrúnaigh,SF,58,
2024,Ceathrú an Bhrúnaigh,GP,21,
,,,,
2024,Ceathrú an Bhrúnaigh,LP,16,
2024,Ceathrú an Bhrúnaigh,SD,25,
2024,Ceathrú an Bhrúnaigh,PBPS,10,
2024,Ceathrú an Bhrúnaigh,AON,8,
2024,Ceathrú an Bhrúnaigh,INDIRL,21,
2024,Ceathrú an Bhrúnaigh,IPP,2,
2024,Ceathrú an Bhrúnaigh,IFP,2,
2024,Ceathrú an Bhrúnaigh,IND,339,
2024,Cill Aithnín,FF,92,
2024,Cill Aithnín,FG,61,
2024,Cill Aithnín,SF,57,
2024,Cill Aithnín,GP,4,
,,,,
2024,Cill Aithnín,LP,10,
2024,Cill Aithnín,SD,48,
2024,Cill Aithnín,PBPS,0,
2024,Cill Aithnín,AON,6,
2024,Cill Aithnín,INDIRL,91,
2024,Cill Aithnín,IPP,2,
2024,Cill Aithnín,IFP,5,
2024,Cill Aithnín,IND,109,
2024,Cill Chuimín,FF,105,
2024,Cill Chuimín,FG,58,
2024,Cill Chuimín,SF,91,
2024,Cill Chuimín,GP,6,
,,,,
2024,Cill Chuimín,LP,10,
2024,Cill Chuimín,SD,5,
2024,Cill Chuimín,PBPS,2,
2024,Cill Chuimín,AON,8,
2024,Cill Chuimín,INDIRL,217,
2024,Cill Chuimín,IPP,4,
2024,Cill Chuimín,IFP,5,
2024,Cill Chuimín,IND,116,
2024,Claddagh,FF,130,
2024,Claddagh,FG,162,
2024,Claddagh,SF,136,
2024,Claddagh,GP,34,
,,,,
2024,Claddagh,LP,32,
2024,Claddagh,SD,39,
2024,Claddagh,PBPS,31,
2024,Claddagh,AON,26,
2024,Claddagh,INDIRL,13,
2024,Claddagh,IPP,12,
2024,Claddagh,IFP,5,
2024,Claddagh,IND,458,
2024,Clarinbridge,FF,237,
2024,Clarinbridge,FG,502,
2024,Clarinbridge,SF,125,
2024,Clarinbridge,GP,64,
,,,,
2024,Clarinbridge,LP,34,
2024,Clarinbridge,SD,42,
2024,Clarinbridge,PBPS,13,
2024,Clarinbridge,AON,34,
2024,Clarinbridge,INDIRL,29,
2024,Clarinbridge,IPP,22,
2024,Clarinbridge,IFP,7,
2024,Clarinbridge,IND,524,
2024,Cleggan,FF,21,
2024,Cleggan,FG,39,
2024,Cleggan,SF,44,
2024,Cleggan,GP,5,
,,,,
2024,Cleggan,LP,2,
2024,Cleggan,SD,0,
2024,Cleggan,PBPS,0,
2024,Cleggan,AON,1,
2024,Cleggan,INDIRL,22,
2024,Cleggan,IPP,2,
2024,Cleggan,IFP,4,
2024,Cleggan,IND,23,
2024,Clifden,FF,25,
2024,Clifden,FG,28,
2024,Clifden,SF,21,
2024,Clifden,GP,0,
,,,,
2024,Clifden,LP,0,
2024,Clifden,SD,1,
2024,Clifden,PBPS,0,
2024,Clifden,AON,1,
2024,Clifden,INDIRL,35,
2024,Clifden,IPP,0,
2024,Clifden,IFP,0,
2024,Clifden,IND,16,
2024,Cloch na Rón,FF,74,
2024,Cloch na Rón,FG,156,
2024,Cloch na Rón,SF,77,
2024,Cloch na Rón,GP,5,
,,,,
2024,Cloch na Rón,LP,4,
2024,Cloch na Rón,SD,6,
2024,Cloch na Rón,PBPS,6,
2024,Cloch na Rón,AON,5,
2024,Cloch na Rón,INDIRL,28,
2024,Cloch na Rón,IPP,0,
2024,Cloch na Rón,IFP,6,
2024,Cloch na Rón,IND,58,
2024,Conga,FF,126,
2024,Conga,FG,70,
2024,Conga,SF,33,
2024,Conga,GP,4,
,,,,
2024,Conga,LP,5,
2024,Conga,SD,6,
2024,Conga,PBPS,6,
2024,Conga,AON,1,
2024,Conga,INDIRL,47,
2024,Conga,IPP,1,
2024,Conga,IFP,2,
2024,Conga,IND,38,
2024,Cushkillary,FF,67,
2024,Cushkillary,FG,44,
2024,Cushkillary,SF,45,
2024,Cushkillary,GP,4,
,,,,
2024,Cushkillary,LP,2,
2024,Cushkillary,SD,4,
2024,Cushkillary,PBPS,0,
2024,Cushkillary,AON,5,
2024,Cushkillary,INDIRL,19,
2024,Cushkillary,IPP,0,
2024,Cushkillary,IFP,1,
2024,Cushkillary,IND,23,
2024,Dangan,FF,304,
2024,Dangan,FG,317,
2024,Dangan,SF,256,
2024,Dangan,GP,87,
,,,,
2024,Dangan,LP,104,
2024,Dangan,SD,91,
2024,Dangan,PBPS,64,
2024,Dangan,AON,79,
2024,Dangan,INDIRL,56,
2024,Dangan,IPP,22,
2024,Dangan,IFP,27,
2024,Dangan,IND,606,
2024,Derrycunlagh,FF,41,
2024,Derrycunlagh,FG,97,
2024,Derrycunlagh,SF,88,
2024,Derrycunlagh,GP,7,
,,,,
2024,Derrycunlagh,LP,6,
2024,Derrycunlagh,SD,2,
2024,Derrycunlagh,PBPS,6,
2024,Derrycunlagh,AON,6,
2024,Derrycunlagh,INDIRL,0,
2024,Derrycunlagh,IPP,5,
2024,Derrycunlagh,IFP,4,
2024,Derrycunlagh,IND,36,
2024,Derrylea,FF,46,
2024,Derrylea,FG,70,
2024,Derrylea,SF,50,
2024,Derrylea,GP,5,
,,,,
2024,Derrylea,LP,1,
2024,Derrylea,SD,5,
2024,Derrylea,PBPS,4,
2024,Derrylea,AON,5,
2024,Derrylea,INDIRL,22,
2024,Derrylea,IPP,1,
2024,Derrylea,IFP,1,
2024,Derrylea,IND,29,
2024,Doonloughan,FF,23,
2024,Doonloughan,FG,31,
2024,Doonloughan,SF,36,
2024,Doonloughan,GP,2,
,,,,
2024,Doonloughan,LP,0,
2024,Doonloughan,SD,6,
2024,Doonloughan,PBPS,0,
2024,Doonloughan,AON,2,
