year,constituency,party,votes,seats
2024,Scainimh,INDIRL,48,
2024,Scainimh,IPP,4,
2024,Scainimh,IFP,1,
2024,Scainimh,IND,28,
2024,Shantalla,FF,49,
2024,Shantalla,FG,21,
2024,Shantalla,SF,35,
2024,Shantalla,GP,14,
,,,,
2024,Shantalla,LP,16,
2024,Shantalla,SD,5,
2024,Shantalla,PBPS,13,
2024,Shantalla,AON,4,
2024,Shantalla,INDIRL,6,
2024,Shantalla,IPP,5,
2024,Shantalla,IFP,0,
2024,Shantalla,IND,83,
2024,Sillerna,FF,57,
2024,Sillerna,FG,42,
2024,Sillerna,SF,69,
2024,Sillerna,GP,1,
,,,,
2024,Sillerna,LP,1,
2024,Sillerna,SD,1,
2024,Sillerna,PBPS,4,
2024,Sillerna,AON,2,
2024,Sillerna,INDIRL,31,
2024,Sillerna,IPP,4,
2024,Sillerna,IFP,1,
2024,Sillerna,IND,23,
2024,Sliabh An Aonaigh,FF,11,
2024,Sliabh An Aonaigh,FG,28,
2024,Sliabh An Aonaigh,SF,12,
2024,Sliabh An Aonaigh,GP,0,
,,,,
2024,Sliabh An Aonaigh,LP,6,
2024,Sliabh An Aonaigh,SD,1,
2024,Sliabh An Aonaigh,PBPS,0,
2024,Sliabh An Aonaigh,AON,0,
2024,Sliabh An Aonaigh,INDIRL,97,
2024,Sliabh An Aonaigh,IPP,1,
2024,Sliabh An Aonaigh,IFP,1,
2024,Sliabh An Aonaigh,IND,13,
2024,St. Nicholas,FF,81,
2024,St. Nicholas,FG,65,
2024,St. Nicholas,SF,135,
2024,St. Nicholas,GP,12,
,,,,
2024,St. Nicholas,LP,32,
2024,St. Nicholas,SD,69,
2024,St. Nicholas,PBPS,49,
2024,St. Nicholas,AON,21,
2024,St. Nicholas,INDIRL,21,
2024,St. Nicholas,IPP,6,
2024,St. Nicholas,IFP,9,
2024,St. Nicholas,IND,214,
2024,Taylor's Hill,FF,170,
2024,Taylor's Hill,FG,144,
2024,Taylor's Hill,SF,42,
2024,Taylor's Hill,GP,42,
,,,,
2024,Taylor's Hill,LP,27,
2024,Taylor's Hill,SD,27,
2024,Taylor's Hill,PBPS,6,
2024,Taylor's Hill,AON,10,
2024,Taylor's Hill,INDIRL,10,
2024,Taylor's Hill,IPP,8,
2024,Taylor's Hill,IFP,8,
2024,Taylor's Hill,IND,156,
2024,Tulaigh Mhic Aodháin,FF,13,
2024,Tulaigh Mhic Aodháin,FG,87,
2024,Tulaigh Mhic Aodháin,SF,16,
2024,Tulaigh Mhic Aodháin,GP,11,
,,,,
2024,Tulaigh Mhic Aodháin,LP,4,
2024,Tulaigh Mhic Aodháin,SD,7,
2024,Tulaigh Mhic Aodháin,PBPS,5,
2024,Tulaigh Mhic Aodháin,AON,0,
2024,Tulaigh Mhic Aodháin,INDIRL,149,
2024,Tulaigh Mhic Aodháin,IPP,0,
2024,Tulaigh Mhic Aodháin,IFP,0,
2024,Tulaigh Mhic Aodháin,IND,36,
2024,Welpark,FF,69,
2024,Welpark,FG,68,
2024,Welpark,SF,126,
2024,Welpark,GP,9,
,,,,
2024,Welpark,LP,32,
2024,Welpark,SD,26,
2024,Welpark,PBPS,6,
2024,Welpark,AON,30,
2024,Welpark,INDIRL,10,
2024,Welpark,IPP,12,
2024,Welpark,IFP,1,
2024,Welpark,IND,199,
2024,Wormhole,FF,127,
2024,Wormhole,FG,296,
2024,Wormhole,SF,105,
2024,Wormhole,GP,51,
,,,,
2024,Wormhole,LP,47,
2024,Wormhole,SD,44,
2024,Wormhole,PBPS,25,
2024,Wormhole,AON,17,
2024,Wormhole,INDIRL,828,
2024,Wormhole,IPP,1,
2024,Wormhole,IFP,2,
2024,Wormhole,IND,195,
