election,constituency,party,votes,seats
2016,Belfast East,AP,10659,2
2016,Belfast East,DUP,13643,2
2016,Belfast East,GP,2183,
2016,Belfast East,CCLA,517,
2016,Belfast East,CON,477,
2016,Belfast East,NILAB,78,
2016,Belfast East,PUP,1772,
2016,Belfast East,SDLP,141,
2016,Belfast East,SF,946,
2016,Belfast East,TUV,887,
2016,Belfast East,UKIP,631,
2016,Belfast East,UUP,4142,1
2016,Belfast East,IND,1099,
2016,Belfast North,AP,2569,
2016,Belfast North,DUP,12783,3
2016,Belfast North,GP,796,
2016,Belfast North,NILAB,127,
2016,Belfast North,PBP,1286,
2016,Belfast North,PUP,1238,
2016,Belfast North,SDLP,3866,1
2016,Belfast North,SF,9704,1
2016,Belfast North,TUV,644,
2016,Belfast North,UKIP,751,
2016,Belfast North,UUP,1972,
2016,Belfast North,WP,476,
2016,Belfast North,IND,362,
2016,Belfast South,AP,6023,1
2016,Belfast South,DUP,8081,1
2016,Belfast South,GP,3521,1
2016,Belfast South,CCLA,871,
2016,Belfast South,CON,161,
2016,Belfast South,NILAB,246,
2016,Belfast South,PUP,430,
2016,Belfast South,SDLP,7406,1
2016,Belfast South,SF,5207,1
2016,Belfast South,TUV,495,
2016,Belfast South,UKIP,794,
2016,Belfast South,UUP,2466,
2016,Belfast South,WP,241,
2016,Belfast South,IND,826,
2016,Belfast West,AP,291,
2016,Belfast West,DUP,3766,
2016,Belfast West,GP,327,
2016,Belfast West,PBP,8299,1
2016,Belfast West,SDLP,2647,
2016,Belfast West,SF,19752,4
2016,Belfast West,UUP,654,
2016,Belfast West,WP,532,
2016,East Antrim,AP,4747,1
2016,East Antrim,DUP,11701,3
2016,East Antrim,GP,693,
2016,East Antrim,CCLA,551,
2016,East Antrim,PUP,455,
2016,East Antrim,SDLP,1229,
2016,East Antrim,SF,2633,
2016,East Antrim,TUV,1643,
2016,East Antrim,UKIP,2207,
2016,East Antrim,UUP,6552,1
2016,East Derry,AP,1257,
2016,East Derry,DUP,12674,3
2016,East Derry,GP,434,
2016,East Derry,INDU,3270,
2016,East Derry,CON,266,
2016,East Derry,PUP,1256,
2016,East Derry,SDLP,3265,1
2016,East Derry,SF,7495,1
2016,East Derry,TUV,1191,
2016,East Derry,UKIP,274,
2016,East Derry,UUP,2856,
