year,constituency,party,votes,seats
2024,Dublin Central,SF,6389,
2024,Dublin Central,FG,5493,
2024,Dublin Central,SD,4353,
2024,Dublin Central,IND,3098,
2024,Dublin Central,LAB,2465,
2024,Dublin Central,FF,2344,
2024,Dublin Central,GP,1952,
2024,Dublin Central,IND,1602,
2024,Dublin Central,PBPS,1471,
2024,Dublin Central,I4C,1317,
2024,Dublin Central,SF,1257,
2024,Dublin Central,AON,715,
2024,Dublin Central,CEN,298,
