,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
,Arran Quay E,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,967,12,979,2319
,Arran Quay E,1,mannix flynn,Mannix Flynn,FALSE,IND,5,running,1,11943,967,12,979,2319
,Arran Quay E,1,janet horner,Janet Horner,FALSE,GP,156,running,1,11943,967,12,979,2319
,Arran Quay E,1,gerry hutch,Gerry Hutch,FALSE,IND,71,running,1,11943,967,12,979,2319
,Arran Quay E,1,ray mcadam,Ray McAdam,FALSE,FG,158,running,1,11943,967,12,979,2319
,Arran Quay E,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,106,running,1,11943,967,12,979,2319
,Arran Quay E,1,ruth odea,Ruth O'Dea,FALSE,LAB,64,running,1,11943,967,12,979,2319
,Arran Quay E,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,967,12,979,2319
,Arran Quay E,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,10,running,1,11943,967,12,979,2319
,Arran Quay E,1,malachy steenson,Malachy Steenson,FALSE,IND,41,running,1,11943,967,12,979,2319
,Arran Quay E,1,john stephens,John Stephens,FALSE,FF,24,running,1,11943,967,12,979,2319
TRUE,Ballybough A,1,janice boylan,Janice Boylan,FALSE,SF,175,running,1,11943,1157,1,1158,2647
,Ballybough A,1,tony corrigan,Tony Corrigan,FALSE,IND,0,running,1,11943,1157,1,1158,2647
,Ballybough A,1,daniel ennis,Daniel Ennis,FALSE,SD,254,running,1,11943,1157,1,1158,2647
,Ballybough A,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,1157,1,1158,2647
,Ballybough A,1,mannix flynn,Mannix Flynn,FALSE,IND,6,running,1,11943,1157,1,1158,2647
,Ballybough A,1,janet horner,Janet Horner,FALSE,GP,86,running,1,11943,1157,1,1158,2647
,Ballybough A,1,gerry hutch,Gerry Hutch,FALSE,IND,230,running,1,11943,1157,1,1158,2647
,Ballybough A,1,ray mcadam,Ray McAdam,FALSE,FG,72,running,1,11943,1157,1,1158,2647
,Ballybough A,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,72,running,1,11943,1157,1,1158,2647
,Ballybough A,1,ruth odea,Ruth O'Dea,FALSE,LAB,29,running,1,11943,1157,1,1158,2647
,Ballybough A,1,john oleary,John O'Leary,FALSE,IND,1,running,1,11943,1157,1,1158,2647
,Ballybough A,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,11,running,1,11943,1157,1,1158,2647
,Ballybough A,1,malachy steenson,Malachy Steenson,FALSE,IND,208,running,1,11943,1157,1,1158,2647
,Ballybough A,1,john stephens,John Stephens,FALSE,FF,13,running,1,11943,1157,1,1158,2647
TRUE,Ballybough B,1,janice boylan,Janice Boylan,FALSE,SF,92,running,1,11943,739,3,742,2147
,Ballybough B,1,tony corrigan,Tony Corrigan,FALSE,IND,2,running,1,11943,739,3,742,2147
,Ballybough B,1,daniel ennis,Daniel Ennis,FALSE,SD,142,running,1,11943,739,3,742,2147
,Ballybough B,1,colm flood,Colm Flood,FALSE,IND,2,running,1,11943,739,3,742,2147
,Ballybough B,1,mannix flynn,Mannix Flynn,FALSE,IND,6,running,1,11943,739,3,742,2147
,Ballybough B,1,janet horner,Janet Horner,FALSE,GP,79,running,1,11943,739,3,742,2147
,Ballybough B,1,gerry hutch,Gerry Hutch,FALSE,IND,101,running,1,11943,739,3,742,2147
,Ballybough B,1,ray mcadam,Ray McAdam,FALSE,FG,73,running,1,11943,739,3,742,2147
,Ballybough B,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,46,running,1,11943,739,3,742,2147
,Ballybough B,1,ruth odea,Ruth O'Dea,FALSE,LAB,72,running,1,11943,739,3,742,2147
,Ballybough B,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,739,3,742,2147
,Ballybough B,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,22,running,1,11943,739,3,742,2147
,Ballybough B,1,malachy steenson,Malachy Steenson,FALSE,IND,85,running,1,11943,739,3,742,2147
,Ballybough B,1,john stephens,John Stephens,FALSE,FF,17,running,1,11943,739,3,742,2147
TRUE,Botanic A,1,janice boylan,Janice Boylan,FALSE,SF,86,running,1,11943,1165,6,1171,2544
,Botanic A,1,tony corrigan,Tony Corrigan,FALSE,IND,1,running,1,11943,1165,6,1171,2544
,Botanic A,1,daniel ennis,Daniel Ennis,FALSE,SD,254,running,1,11943,1165,6,1171,2544
,Botanic A,1,colm flood,Colm Flood,FALSE,IND,2,running,1,11943,1165,6,1171,2544
,Botanic A,1,mannix flynn,Mannix Flynn,FALSE,IND,7,running,1,11943,1165,6,1171,2544
,Botanic A,1,janet horner,Janet Horner,FALSE,GP,182,running,1,11943,1165,6,1171,2544
,Botanic A,1,gerry hutch,Gerry Hutch,FALSE,IND,33,running,1,11943,1165,6,1171,2544
,Botanic A,1,ray mcadam,Ray McAdam,FALSE,FG,202,running,1,11943,1165,6,1171,2544
,Botanic A,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,66,running,1,11943,1165,6,1171,2544
,Botanic A,1,ruth odea,Ruth O'Dea,FALSE,LAB,104,running,1,11943,1165,6,1171,2544
,Botanic A,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,1165,6,1171,2544
,Botanic A,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,47,running,1,11943,1165,6,1171,2544
,Botanic A,1,malachy steenson,Malachy Steenson,FALSE,IND,47,running,1,11943,1165,6,1171,2544
,Botanic A,1,john stephens,John Stephens,FALSE,FF,134,running,1,11943,1165,6,1171,2544
TRUE,Botanic B,1,janice boylan,Janice Boylan,FALSE,SF,72,running,1,11943,1559,11,1570,2742
,Botanic B,1,tony corrigan,Tony Corrigan,FALSE,IND,1,running,1,11943,1559,11,1570,2742
,Botanic B,1,daniel ennis,Daniel Ennis,FALSE,SD,375,running,1,11943,1559,11,1570,2742
,Botanic B,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,1559,11,1570,2742
,Botanic B,1,mannix flynn,Mannix Flynn,FALSE,IND,6,running,1,11943,1559,11,1570,2742
,Botanic B,1,janet horner,Janet Horner,FALSE,GP,300,running,1,11943,1559,11,1570,2742
,Botanic B,1,gerry hutch,Gerry Hutch,FALSE,IND,38,running,1,11943,1559,11,1570,2742
,Botanic B,1,ray mcadam,Ray McAdam,FALSE,FG,323,running,1,11943,1559,11,1570,2742
