election,constituency,party,votes,seats
2015,Belfast East,DUP,19575,1
2015,Belfast East,AP,16978,
2015,Belfast East,CON,1121,
2015,Belfast East,GP,1058,
2015,Belfast East,SF,823,
2015,Belfast East,SDLP,127,
2015,Belfast North,DUP,19096,1
2015,Belfast North,SF,13770,
2015,Belfast North,SDLP,3338,
2015,Belfast North,AP,2941,
2015,Belfast North,WP,919,
2015,Belfast North,IND,529,
2015,Belfast South,SDLP,9560,1
2015,Belfast South,DUP,8654,
2015,Belfast South,AP,6711,
2015,Belfast South,SF,5402,
2015,Belfast South,UUP,3549,
2015,Belfast South,GP,2238,
2015,Belfast South,UKIP,1900,
2015,Belfast South,CON,582,
2015,Belfast South,WP,361,
2015,Belfast West,SF,19163,1
2015,Belfast West,PBP,6798,
2015,Belfast West,SDLP,3475,
2015,Belfast West,DUP,2773,
2015,Belfast West,UUP,1088,
2015,Belfast West,UKIP,765,
2015,Belfast West,AP,636,
2015,Belfast West,WP,597,
2015,Belfast West,CON,34,
2015,East Antrim,DUP,12103,1
2015,East Antrim,UUP,6308,
2015,East Antrim,AP,5021,
2015,East Antrim,UKIP,3660,
2015,East Antrim,SF,2314,
2015,East Antrim,TUV,1903,
2015,East Antrim,SDLP,1639,
2015,East Antrim,CON,549,
2015,East Derry,DUP,14663,1
2015,East Derry,SF,6859,
2015,East Derry,UUP,5333,
2015,East Derry,SDLP,4268,
2015,East Derry,AP,2642,
2015,East Derry,CSA,527,
2015,East Derry,CON,422,
2015,Fermanagh and South Tyrone,UUP,23608,1
2015,Fermanagh and South Tyrone,SF,23078,
2015,Fermanagh and South Tyrone,SDLP,2732,
2015,Fermanagh and South Tyrone,GP,788,
2015,Fermanagh and South Tyrone,AP,658,
2015,Foyle,SDLP,17725,1
2015,Foyle,SF,11679,
2015,Foyle,DUP,4573,
2015,Foyle,UUP,1226,
2015,Foyle,AP,835,
2015,Foyle,UKIP,832,
2015,Foyle,CON,132,
2015,Lagan Valley,DUP,19055,1
2015,Lagan Valley,UUP,6055,
2015,Lagan Valley,AP,5544,
2015,Lagan Valley,SDLP,2500,
2015,Lagan Valley,UKIP,2200,
2015,Lagan Valley,TUV,1887,
2015,Lagan Valley,SF,1144,
2015,Lagan Valley,IND,756,
2015,Lagan Valley,CON,654,
2015,Mid Ulster,SF,19935,1
2015,Mid Ulster,UUP,6318,
2015,Mid Ulster,DUP,5465,
2015,Mid Ulster,SDLP,5055,
2015,Mid Ulster,TUV,1892,
2015,Mid Ulster,UKIP,863,
2015,Mid Ulster,AP,778,
2015,Mid Ulster,WP,496,
2015,Mid Ulster,CON,120,
2015,Newry and Armagh,SF,20488,1
2015,Newry and Armagh,UUP,16312,
2015,Newry and Armagh,SDLP,12026,
2015,Newry and Armagh,AP,841,
2015,Newry and Armagh,CON,210,
2015,North Antrim,DUP,18107,1
2015,North Antrim,TUV,6561,
2015,North Antrim,SF,5143,
2015,North Antrim,UUP,5054,
2015,North Antrim,SDLP,2925,
2015,North Antrim,AP,2351,
2015,North Antrim,UKIP,1341,
2015,North Antrim,CON,368,
2015,North Antrim,IND,57,
2015,North Down,INDU,17689,1
2015,North Down,DUP,8487,
2015,North Down,AP,3086,
2015,North Down,GP,1958,
2015,North Down,CON,1593,
2015,North Down,UKIP,1482,
2015,North Down,TUV,686,
2015,North Down,SDLP,355,
2015,North Down,CSA,338,
2015,North Down,SF,273,
2015,South Antrim,UUP,11942,1
2015,South Antrim,DUP,10993,
2015,South Antrim,SF,4699,
2015,South Antrim,AP,3576,
2015,South Antrim,SDLP,2990,
2015,South Antrim,TUV,1908,
2015,South Antrim,CON,415,
2015,South Down,SDLP,18077,1
2015,South Down,SF,12186,
2015,South Down,UUP,3964,
2015,South Down,DUP,3486,
2015,South Down,UKIP,3044,
2015,South Down,AP,1622,
2015,South Down,CON,318,
2015,Strangford,DUP,15053,1
2015,Strangford,UUP,4868,
2015,Strangford,AP,4687,
2015,Strangford,SDLP,2335,
2015,Strangford,UKIP,2237,
2015,Strangford,CON,2167,
2015,Strangford,TUV,1701,
2015,Strangford,SF,876,
2015,Upper Bann,DUP,15430,1
2015,Upper Bann,UUP,13166,
2015,Upper Bann,SF,11593,
2015,Upper Bann,SDLP,4238,
2015,Upper Bann,AP,1780,
2015,Upper Bann,CSA,460,
2015,Upper Bann,WP,351,
2015,Upper Bann,CON,201,
2015,West Tyrone,SF,16807,1
2015,West Tyrone,DUP,6747,
2015,West Tyrone,SDLP,6444,
2015,West Tyrone,UUP,6144,
2015,West Tyrone,AP,869,
2015,West Tyrone,GP,780,
2015,West Tyrone,CSA,528,
2015,West Tyrone,CON,169,
2015,West Tyrone,,166,
