date,commissioner,pollster,sample,moe,FF,FG,SF,SD,LAB,AON,INDIRL,GP,PBPS,REN,IA,PD,IND
13 December 2016,The Sunday Times,Behaviour and Attitudes,924,,28,26,19,1,5,,,3,3,1,5,,9
6 December 2016,The Irish Times,Ipsos MRBI,"1,200",,30,27,17,2,6,,,3,3,,2,,10
25 November 2016,The Business Post,Red C,"1,000",,24,25,16,4,5,,,3,5,1,4,,12
9 November 2016,The Sunday Times,Behaviour and Attitudes,924,,30,28,17,0,3,,,2,3,0,5,,11
27 October 2016,The Business Post,Red C,"1,002",,26,25,13,3,5,,,3,9,0,6,,10
20 October 2016,The Sunday Independent,Milward Brown,942,,27,29,20,1,8,,,2,5,,5,,3
12 October 2016,The Sunday Times,Behaviour and Attitudes,917,,30,26,17,1,5,,,2,2,1,4,,11
4 October 2016,The Irish Times,Ipsos MRBI,"1,200",,26,26,19,2,5,,,3,3,,,,15
22 September 2016,The Business Post,Red C,"1,002",,27,25,15,4,7,,,2,6,0,4,,10
14 September 2016,The Sunday Times,Behaviour and Attitudes,911,,28,23,18,1,7,,,2,4,0,4,,12
27 July 2016,The Business Post,Red C,"1,000",,28,27,15,3,4,,,3,4,0,5,,10
13 July 2016,The Business Post,Red C,"1,004",,29,26,13,4,6,,,4,5,1,5,,8
13 July 2016,The Sunday Times,Behaviour and Attitudes,909,,30,25,14,2,6,,,2,5,0,4,,12
7 July 2016,The Irish Times,Ipsos MRBI,"1,200",,33,24,16,2,5,,,4,2,,2,,11
29 June 2016,The Sunday Independent,Milward Brown,"1,000",,26,30,20,2,7,,,3,4,,,,8
15 June 2016,The Sunday Times,Behaviour and Attitudes,913,,26,25,17,1,5,,,3,4,1,6,,11
26 May 2016,The Business Post,Red C,"1,004",,26,26,15,4,6,,,2,5,0,4,,11
11 May 2016,The Sunday Times,Behaviour and Attitudes,898,,27,26,16,2,5,,,4,4,0,7,,9
11 May 2016,The Business Post,Red C,"1,015",,25,27,16,4,5,,,3,6,1,3,,10
13 April 2016,The Sunday Times,Behaviour and Attitudes,926,,26,23,17,2,4,,,3,4,1,8,,12
10 March 2016,The Business Post,Red C,"1,006",,25,27,15,5,4,,,3,4,2,5,,9
23 February 2016,Paddy Power,Red C,,,20,30,15,4,7,,,3,3,2,2,,14
22 February 2016,The Irish Times,Ipsos MRBI,,,23,28,15,3,6,,,2,3,2,4,,14
21 February 2016,Sunday Independent,Millward Brown,,,23,27,19,4,6,,,2,5,2,,,14
21 February 2016,The Sunday Business Post,Red C,,,18,30,16,4,8,,,4,3,2,3,,12
21 February 2016,The Sunday Times,Behaviour & Attitudes,,,22,30,15,3,4,,,3,5,3,5,,10
16 February 2016,The Irish Sun,Red C,,,19,26,17,3,9,,,4,2,2,5,,13
13 February 2016,The Sunday Business Post,Red C,,,18,28,20,4,8,,,2,3,1,3,,13
10 February 2016,Paddy Power,Red C,,,18,30,17,3,8,,,2,4,2,4,,12
6 February 2016,The Sunday Times,Behaviour & Attitudes,,,20,28,17,4,8,,,3,3,2,4,,11
6 February 2016,The Sunday Business Post,Red C,,,17,31,17,3,10,,,2,3,1,2,,14
6 February 2016,Sunday Independent,Millward Brown,,,22,27,21,1,6,,,1,3,1,,,18
4 February 2016,The Irish Times,Ipsos MRBI,,,21,28,19,2,7,,,2,4,1,3,,13
30 January 2016,The Sunday Business Post,Red C,,,17,29,19,2,10,,,3,3,1,,,16
16 January 2016,The Sunday Business Post,Red C,,,19,30,19,1,9,,,2,3,2,,,15
16 January 2016,The Sunday Times,Behaviour & Attitudes,,,20,31,16,1,6,,,3,3,2,3,,17
19 December 2015,The Sunday Business Post,Red C,,,17,32,19,2,9,,,2,3,2,,,14
13 December 2015,The Sunday Times,Behaviour & Attitudes,,,19,31,17,1,8,,,3,4,1,2,,14
2 December 2015,Paddy Power,Red C,,,20,28,18,3,9,,,2,4,1,2,,13
26 November 2015,The Irish Times,Ipsos MRBI,,,19,30,21,2,7,,,2,3,2,3,,11
21 November 2015,The Sunday Business Post,Red C,,,19,31,18,3,7,,,2,4,1,,,15
14 November 2015,The Sunday Times,Behaviour & Attitudes,,,20,26,21,1,7,,,1,9,1,2,,12
7 November 2015,Sunday Independent,Millward Brown,,,24,29,21,,7,,,1,,1,,,19
24 October 2015,The Sunday Business Post,Red C,,,20,30,16,1,7,,,2,1,2,,,21
18 October 2015,The Sunday Times,Behaviour & Attitudes,,,19,24,19,1,8,,,1,7,2,5,,13
23 September 2015,The Irish Times,Ipsos MRBI,,,20,28,19,1,8,,,1,3,2,3,,15
12 September 2015,The Sunday Business Post,Red C,,,18,28,16,,10,,,,,,,,28
15 August 2015,The Sunday Times,Behaviour & Attitudes,,,20,27,19,1,6,,,2,5,1,,,21
30 July 2015,Sunday Independent,Millward Brown,,,23,24,21,1,7,,,1,3,1,,,21
26 July 2015,The Sunday Business Post,Red C,,,18,25,18,,8,,,2,1,,,,28
18 July 2015,The Sunday Times,Behaviour & Attitudes,,,18,24,17,,8,,,,,,,,32
27 June 2015,Sunday Independent,Millward Brown,,,23,29,21,,6,,,1,3,1,,,16
24 June 2015,The Sunday Business Post,Red C,,,20,28,18,,7,,,2,,1,,,24
15 June 2015,The Sunday Times,Behaviour & Attitudes,,,21,24,19,,9,,,2,,1,,,25
30 May 2015,The Sunday Business Post,Red C,,,19,28,21,,10,,,3,,1,,,18
14 May 2015,The Irish Times,Ipsos MRBI,,,20,28,21,,7,,,,,,,,24
26 April 2015,The Sunday Business Post,Red C,,,19,25,22,,8,,,1,,1,,,23
5 April 2015,Sunday Independent,Millward Brown,,,19,25,24,,8,,,3,2,2,,,16
28 March 2015,The Sunday Business Post,Red C,,,18,27,17,,10,,,2,,2,,,24
26 March 2015,The Irish Times,Ipsos MRBI,,,17,24,24,,7,,,3,,,,,25
11 March 2015,The Sunday Times,Behaviour & Attitudes,,,18,27,19,,9,,,3,,,,,23
21 February 2015,The Sunday Business Post,Red C,,,18,24,21,,7,,,3,,1,,,26
14 February 2015,Sunday Independent,Millward Brown,,,19,25,26,,6,,,1,,,,,23
19 January 2015,The Sunday Business Post,Red C,,,19,24,20,,9,,,2,,,,,26
13 January 2015,RTÉ,Red C,,,18,24,21,,8,,,1,,1,,,27
21 December 2014,The Sunday Times,Behaviour & Attitudes,,,18,24,22,,5,,,1,,,,,29
18 December 2014,Sunday Independent,Millward Brown,,,18,22,21,,5,,,2,,,,,32
17 December 2014,The Sunday Business Post,Red C,,,19,21,24,,6,,,2,,,,,28
4 December 2014,The Irish Times,Ipsos MRBI,,,21,19,22,,6,,,3,,,,,29
23 November 2014,The Sunday Business Post,Red C,,,18,22,22,,8,,,3,,,,,27
2 November 2014,Sunday Independent,Millward Brown,,,20,22,26,,7,,,2,,,,,23
26 October 2014,The Sunday Times,Behaviour & Attitudes,,,18,25,19,,9,,,3,,,,,25
26 October 2014,The Sunday Business Post,Red C,,,18,26,20,,8,,,2,,,,,28
9 October 2014,The Irish Times,Ipsos MRBI,,,20,24,24,,9,,,,,,,,23
21 September 2014,Sunday Independent,Millward Brown,,,21,25,22,,9,,,1,,,,,23
14 September 2014,The Sunday Business Post,Red C,,,18,28,23,,8,,,2,,,,,23
17 August 2014,The Sunday Times,Behaviour & Attitudes,,,18,24,19,,14,,,1,,,,,24
3 August 2014,Sunday Independent,Millward Brown,,,20,25,24,,7,,,1,,,,,23
29 June 2014,The Sunday Business Post,Red C,,,18,25,22,,7,,,2,,,,,26
12 June 2014,Paddy Power,Red C,,,18,22,22,,4,,,2,,,,,32
7 June 2014,Sunday Independent,Millward Brown,,,20,20,26,,5,,,2,2,,,,25
19 May 2014,Sunday Independent,Millward Brown,,,21,20,23,,6,,,2,,,,,27
1 May 2014,The Sunday Business Post,Red C,,,21,25,18,,11,,,,,,,,25
19 April 2014,Sunday Independent,Millward Brown,,,22,29,20,,6,,,2,,,,,21
19 April 2014,The Sunday Times,Behaviour & Attitudes,,,20,21,20,,9,,,4,,,,,26
3 April 2014,The Irish Times,Ipsos MRBI,,,25,25,21,,8,,,,,,,,21
30 March 2014,The Sunday Business Post,Red C,,,22,26,21,,9,,,,,,,,22
28 February 2014,Sunday Independent,Millward Brown,,,21,27,22,,8,,,2,,,,,20
22 February 2014,The Sunday Times,Behaviour & Attitudes,,,19,30,18,,9,,,,,,,,24
22 February 2014,The Sunday Business Post,Red C,,,22,29,16,,11,,,,,,,,22
24 January 2014,Sunday Independent,Millward Brown,,,26,30,16,,12,,,1,,,,,15
22 January 2014,The Sunday Business Post,Red C,,,23,27,16,,9,,,,,,,,25
9 January 2014,Paddy Power,Red C,,,22,28,18,,10,,,,,,,,22
15 December 2013,The Sunday Times,Behaviour & Attitudes,,,21,30,15,,11,,,3,,,,,21
10 December 2013,The Irish Times,Ipsos MRBI,,,22,30,21,,9,,,,,,,,18
24 November 2013,The Sunday Business Post,Red C,,,22,29,15,,12,,,2,,,,,20
17 November 2013,Sunday Independent,Millward Brown,,,24,27,21,,9,,,1,,,,,18
7 November 2013,Paddy Power,Red C,,,24,25,16,,9,,,2,,,,,24
23 October 2013,The Sunday Business Post,Red C,,,23,29,17,,9,,,,,,,,23
1 October 2013,The Irish Times,Ipsos MRBI,,,22,26,23,,6,,,2,,,,,21
28 September 2013,Sunday Independent,Millward Brown Lansdowne,,,27,28,19,,10,,,1,,,,,15
21 September 2013,The Sunday Times,Behaviour & Attitudes,,,21,25,18,,11,,,3,,,,,23
16 September 2013,The Sunday Business Post,Red C,,,23,27,17,,10,,,4,,,,,19
1 September 2013,Sunday Independent,Millward Brown Lansdowne,,,25,27,21,,8,,,1,,,,,18
18 August 2013,Sunday Independent,Millward Brown Lansdowne,,,28,29,19,,8,,,1,,,,,15
7 July 2013,Sunday Independent,Millward Brown Lansdowne,,,29,26,19,,8,,,,,,,,19
30 June 2013,The Sunday Business Post,Red C,,,22,28,17,,12,,,,,,,,21
14 June 2013,The Irish Times,Ipsos MRBI,,,26,24,21,,9,,,2,,,,,18
13 June 2013,Paddy Power,Red C,,,24,30,16,,10,,,,,,,,20
2 June 2013,Sunday Independent,Millward Brown Lansdowne,,,27,27,17,,11,,,,,,,,18
26 May 2013,The Sunday Business Post,Red C,,,26,26,16,,11,,,,,,,,21
19 May 2013,Sunday Independent,Millward Brown Lansdowne,,,26,23,19,,12,,,1,,,,,18
28 April 2013,The Sunday Business Post,Red C,,,25,28,16,,11,,,2,,,,,18
14 April 2013,Sunday Independent,Millward Brown Lansdowne,,,27,24,16,,12,,,2,,,,,18
31 March 2013,The Sunday Times,Behaviour & Attitudes,,,23,27,15,,7,,,2,,,,,25
24 March 2013,The Sunday Business Post,Red C,,,24,28,14,,13,,,1,,,,,20
17 March 2013,Sunday Independent,Millward Brown Lansdowne,,,29,25,20,,9,,,1,,,,,16
2 March 2013,Irish Independent,Millward Brown Lansdowne,,,23,24,21,,11,,,2,,,,,20
24 February 2013,The Sunday Business Post,Red C,,,26,28,16,,12,,,2,,,,,16
18 February 2013,Irish Independent,Millward Brown Lansdowne,,,27,25,20,,13,,,1,,,,,15
8 February 2013,The Irish Times,Ipsos MRBI,,,26,25,18,,10,,,1,,,,,20
27 January 2013,The Sunday Business Post,Red C,,,21,28,19,,11,,,2,,,,,19
21 January 2013,The Sunday Times,Behaviour & Attitudes,,,24,26,19,,11,,,3,,,,,18
10 January 2013,Paddy Power,Red C,,,21,29,16,,13,,,3,,,,,18
2 December 2012,The Sunday Business Post,Red C,,,20,28,17,,14,,,3,,,,,18
18 November 2012,The Sunday Times,Behaviour & Attitudes,,,22,30,14,,12,,,3,,,,,19
28 October 2012,The Sunday Business Post,Red C,,,19,34,17,,13,,,2,,,,,15
18 October 2012,The Irish Times,Ipsos MRBI,,,21,31,20,,12,,,2,,,,,14
23 September 2012,The Sunday Business Post,Red C,,,18,32,18,,14,,,2,,,,,16
16 September 2012,The Sunday Times,Behaviour & Attitudes,,,16,31,18,,14,,,2,,,,,19
24 June 2012,The Sunday Business Post,Red C,,,18,32,16,,15,,,2,,,,,17
27 May 2012,Sunday Independent,Millward Brown Lansdowne,,,17,36,20,,12,,,1,,,,,14
26 May 2012,The Sunday Business Post,Red C,,,18,30,19,,15,,,2,,,,,16
25 May 2012,The Irish Times,Ipsos MRBI,,,17,32,24,,10,,,2,,,,,15
23 May 2012,The Sunday Times,Behaviour & Attitudes,,,16,33,17,,14,,,2,,,,,18
18 May 2012,Paddy Power,Red C,,,18,32,20,,13,,,2,,,,,15
18 May 2012,Irish Independent,Millward Brown Lansdowne,,,16,34,17,,15,,,1,,,,,17
13 May 2012,The Sunday Business Post,Red C,,,19,29,21,,13,,,2,,,,,16
29 April 2012,The Sunday Business Post,Red C,,,17,32,19,,14,,,2,1,,,,15
17 April 2012,The Sunday Times,Behaviour & Attitudes,,,15,33,16,,14,,,5,,,,,18
20 April 2012,The Irish Times,Ipsos MRBI,,,14,33,21,,13,,,2,,,,,17
30 March 2012,Paddy Power,Red C,,,15,35,14,,16,,,2,,,,,18
25 March 2012,The Sunday Business Post,Red C,,,16,34,18,,15,,,2,,,,,15
4 March 2012,The Sunday Business Post,Red C,,,17,30,18,,16,,,2,,,,,17
20 February 2012,The Sunday Times,Behaviour & Attitudes,,,16,33,20,,13,,,2,,,,,16
29 January 2012,The Sunday Business Post,Red C,,,18,30,17,,14,,,3,,,,,18
12 January 2012,Paddy Power,Red C,,,17,33,14,,16,,,2,,,,,18
12 December 2011,The Sunday Times,Behaviour & Attitudes,,,18,29,19,,12,,,3,,,,,18
4 December 2011,The Sunday Business Post,Red C,,,18,32,15,,15,,,1,,,,,19
25 October 2011,The Irish Times,Ipsos MRBI,,,15,36,15,,19,,,1,,,,,14
23 October 2011,The Sunday Business Post,Red C,,,14,31,16,,17,,,2,,,,,20
18 October 2011,The Sunday Times,Behaviour & Attitudes,,,14,35,17,,16,,,1,,,,,16
7 October 2011,The Irish Times,Ipsos MRBI,,,16,35,18,,17,,,2,,,,,12
2 October 2011,The Sunday Times,Behaviour & Attitudes,,,16,34,14,,16,,,3,,,,,17
25 September 2011,The Sunday Business Post,Red C,,,15,33,15,,16,,,2,,,,,19
17 September 2011,Sunday Independent,Millward Brown Lansdowne,,,10,40,11,,20,,,2,,,,,17
4 September 2011,The Sunday Times,Behaviour & Attitudes,,,15,44,13,,12,,,2,,,,,12
21 July 2011,The Irish Times,Ipsos MRBI,,,18,38,10,,18,,,2,,,,,14
22 June 2011,Irish Independent,Millward Brown Lansdowne,,,16,42,11,,19,,,1,,,,,12
29 May 2011,The Sunday Business Post,Red C,,,16,41,11,,19,,,3,,,,,10
10 April 2011,The Sunday Business Post,Red C,,,16,39,11,,18,,,2,,,,,14
23 February 2011,Paddy Power,Red C,,,16,40,10,,18,,,3,,,,,14
23 February 2011,Irish Independent,Millward Brown Lansdowne,,,14,38,11,,20,,,1,,,,,16
21 February 2011,The Irish Times,Ipsos MRBI,,,16,37,11,,19,,,2,,,,,15
20 February 2011,The Sunday Business Post,Red C,,,16,39,12,,17,,,2,,,,,14
20 February 2011,Sunday Independent,Millward Brown Lansdowne,,,16,37,12,,20,,,1,,,,,14
17 February 2011,Irish Daily Star,OI Research,,,17,39,10,,18,,,2,,,,,14
16 February 2011,Irish Independent,Millward Brown Lansdowne,,,12,38,10,,23,,,1,,,,,16
13 February 2011,The Sunday Business Post,Red C,,,15,38,10,,20,,,3,,,,,14
6 February 2011,The Sunday Business Post,Red C,,,17,35,13,,22,,,2,,,,,11
3 February 2011,The Irish Times,Ipsos MRBI,,,15,33,12,,24,,,1,,,,,15
2 February 2011,Paddy Power,Red C,,,18,37,12,,19,,,2,,,,,11
2 February 2011,Irish Independent,Millward Brown Lansdowne,,,16,30,13,,24,,,1,,,,,15
30 January 2011,The Sunday Business Post,Red C,,,16,33,13,,21,,,2,,,,,15
30 January 2011,Sunday Independent,Millward Brown Lansdowne,,,16,34,10,,24,,,1,,,,,15
7 January 2011,Paddy Power,Red C,,,14,35,14,,21,,,4,,,,,12
19 December 2010,The Sunday Business Post,Red C,,,17,34,14,,23,,,2,,,,,10
16 December 2010,The Irish Times,Ipsos MRBI,,,17,30,15,,25,,,2,,,,,11
3 December 2010,The Irish Sun,Red C,,,13,32,16,,24,,,3,,,,,11
21 November 2010,The Sunday Business Post,Red C,,,17,31,11,,27,,,3,,,,,8
24 October 2010,The Sunday Business Post,Red C,,,18,32,9,,27,,,4,,,,,10
30 September 2010,The Irish Times,Ipsos MRBI,,,24,24,8,,33,,,2,,,,,9
26 September 2010,The Sunday Business Post,Red C,,,24,31,10,,23,,,3,,,,,9
23 September 2010,TV3,Millward Brown Lansdowne,,,22,30,4,,35,,,2,,,,,8
27 June 2010,The Sunday Business Post,Red C,,,24,33,8,,27,,,2,,,,,6
11 June 2010,The Irish Times,Ipsos MRBI,,,17,28,9,,32,,,3,,,,,11
30 May 2010,The Sunday Business Post,Red C,,,24,30,10,,22,,,5,,,,,9
2 May 2010,The Sunday Business Post,Red C,,,23,33,6,,24,,,6,,,,,8
28 March 2010,The Sunday Business Post,Red C,,,24,35,10,,17,,,5,,,,,9
28 February 2010,The Sunday Business Post,Red C,,,27,34,9,,17,,,5,,,,,8
13 February 2010,Irish Independent,Millward Brown IMS,,,27,34,8,,19,,,2,,,,,10
31 January 2010,The Sunday Business Post,Red C,,,27,34,8,,17,,,5,,,,,9
22 January 2010,The Irish Times,Ipsos MRBI,,,22,32,8,,24,,,3,,,,,11
22 November 2009,The Sunday Business Post,Red C,,,23,36,10,,17,,,5,,,,,9
25 October 2009,The Sunday Business Post,Red C,,,25,35,9,,19,,,3,,,,,9
27 September 2009,The Sunday Business Post,Red C,,,24,35,8,,18,,,4,,,,,11
26 September 2009,The Irish Times,TNS-MRBI,,,20,31,9,,25,,,4,,,,,11
13 September 2009,The Sunday Business Post,Red C,,,24,33,8,,19,,,5,,,,,11
3 September 2009,The Irish Times,TNS-MRBI,,,17,34,10,,24,,,3,,,,,12
31 May 2009,The Sunday Business Post,Red C,,,21,34,10,,18,,,4,,,,,13
29 May 2009,The Irish Times,TNS-MRBI,,,20,36,8,,23,,,3,,,,,10
17 May 2009,The Sunday Business Post,Red C,,,24,34,7,,18,,,5,,,,,12
15 May 2009,The Irish Times,TNS-MRBI,,,21,38,9,,20,,,3,,,,,10
26 April 2009,The Sunday Business Post,Red C,,,23,33,8,,19,,,7,,,,,10
29 March 2009,The Sunday Business Post,Red C,,,28,31,7,,17,,,7,,,,,10
1 March 2009,The Sunday Business Post,Red C,,,23,30,11,,22,,,6,,,,,8
27 February 2009,Irish Independent,Millward Brown IMS,,,25,30,7,,22,,,5,,,,,10
13 February 2009,The Irish Times,TNS-MRBI,,,22,32,9,,24,,,4,,,,,9
1 February 2009,The Sunday Business Post,Red C,,,28,33,9,,14,,,8,,,,,8
23 November 2008,The Sunday Business Post,Red C,,,30,35,8,,14,,,5,,,,,8
14 November 2008,The Irish Times,TNS-MRBI,,,27,34,8,,14,,,4,,,,,13
26 October 2008,The Sunday Business Post,Red C,,,26,33,10,,15,,,6,,,,,10
21 September 2008,The Sunday Business Post,Red C,,,36,28,9,,9,,,7,,,,3,11
27 July 2008,The Sunday Business Post,Red C,,,40,24,9,,10,,,9,,,,1,8
22 June 2008,The Sunday Business Post,Red C,,,40,25,10,,10,,,7,,,,2,8
7 June 2008,The Irish Times,TNS-MRBI,,,42,23,8,,15,,,5,,,,1,7
25 May 2008,The Sunday Business Post,Red C,,,38,29,7,,10,,,8,,,,2,8
16 May 2008,The Irish Times,TNS-MRBI,,,42,26,6,,15,,,4,,,,1,7
27 April 2008,The Sunday Business Post,Red C,,,38,29,7,,10,,,8,,,,2,8
30 March 2008,The Sunday Business Post,Red C,,,35,30,9,,10,,,8,,,,1,8
2 March 2008,The Sunday Business Post,Red C,,,37,31,8,,10,,,7,,,,2,7
27 January 2008,The Sunday Business Post,Red C,,,36,32,9,,10,,,7,,,,2,6
25 January 2008,The Irish Times,TNS-MRBI,,,34,31,8,,12,,,6,,,,3,9
25 November 2007,The Sunday Business Post,Red C,,,32,31,7,,13,,,9,,,,2,9
2 November 2007,The Irish Times,TNS-MRBI,,,33,31,7,,15,,,5,,,,2,9
28 October 2007,The Sunday Business Post,Red C,,,39,27,8,,10,,,7,,,,2,9
23 September 2007,The Sunday Business Post,Red C,,,40,27,6,,11,,,7,,,,3,9
