date,commissioner,pollster,sample,moe,FF,FG,SF,SD,LAB,AON,INDIRL,GP,PBPS,REN,IA,PD,IND
20 March 2024,Business Post,Red C,"1,027",,16,19,25,6,3,5,,4,3,,,,19
2 March 2024,Sunday Independent,Ireland Thinks,"1,083",,18,20,27,7,4,2,,4,2,,,,17
21 February 2024,Business Post,Red C,"1,009",,16,20,28,7,4,3,,3,3,,,,16
6 February 2024,The Irish Times,Ipsos B&A,"1,200",,20,19,28,4,4,1,,5,2,,,,17
2 February 2024,Sunday Independent,Ireland Thinks,"1,394",,17,19,29,5,4,3,,3,3,,,,18
24 January 2024,Business Post,Red C,"1,003",,17,20,25,6,4,3,,4,3,,,,18
6 January 2024,Sunday Independent,Ireland Thinks,"1,270",,17,20,30,5,3,3,,3,3,,,,17
2 December 2023,Sunday Independent,Ireland Thinks,"1,306",,19,21,28,5,4,3,,3,4,,,,14
22 November 2023,Business Post,Red C,"1,021",,16,20,29,6,4,2,,4,3,,,,16
3 November 2023,Sunday Independent,Ireland Thinks,"1,387",,18,21,31,5,3,3,,4,4,,,,11
25 October 2023,Business Post,Red C,"1,018",,15,20,32,6,5,2,,4,3,,,,12
29 September 2023,Sunday Independent,Ireland Thinks,"1,196",,17,19,35,5,3,3,,4,2,,,,12
26 September 2023,The Irish Times,Ipsos MRBI,"1,200",,20,18,34,2,3,1,,3,1,,,,18
12 September 2023,Business Post,Red C,"1,011",,16,21,31,5,4,3,,4,3,,,,12
12 September 2023,The Sunday Times,Behaviour and Attitudes,910,,21,20,33,3,4,1,,6,2,,,,9
1 September 2023,Sunday Independent,Ireland Thinks,"1,228",,18,21,33,6,3,2,,2,3,,,,10
5 August 2023,Sunday Independent,Ireland Thinks,"1,272",,18,19,34,5,4,2,,5,3,,,,10
12 July 2023,The Sunday Times,Behaviour and Attitudes,910,,24,19,34,2,4,1,,4,2,,,,10
1 July 2023,Sunday Independent,Ireland Thinks,"1,076",,19,19,31,6,2,3,,3,4,,,,13
21 June 2023,Business Post,Red C,"1,011",,16,22,29,5,5,2,,4,3,,,,14
13 June 2023,The Irish Times,Ipsos MRBI,"1,200",,21,18,31,5,4,1,,4,2,,,,14
2 June 2023,Sunday Independent,Ireland Thinks,"1,136",,19,20,32,6,3,3,,3,2,,,,13
24 May 2023,Business Post,Red C,"1,011",,15,20,34,6,4,1,,4,3,,,,13
9 May 2023,The Sunday Times,Behaviour and Attitudes,906,,22,17,35,3,4,1,,5,1,,,,12
6 May 2023,Sunday Independent,Ireland Thinks,"1,175",,19,20,31,5,4,2,,3,4,,,,12
26 April 2023,Business Post,Red C,"1,016",,16,22,31,5,4,2,,4,2,,,,14
4 April 2023,The Sunday Times,Behaviour and Attitudes,909,,21,15,37,4,4,2,,6,2,,,,8
1 April 2023,Sunday Independent,Ireland Thinks,"1,102",,16,22,31,7,3,3,,4,3,,,,10
22 March 2023,Business Post,Red C,"1,005",,15,22,31,6,4,2,,3,3,,,,14
14 March 2023,The Sunday Times,Behaviour and Attitudes,943,,20,23,32,4,5,,,5,2,,,,9
3 March 2023,Sunday Independent,Ireland Thinks,"1,162",,19,21,29,9,3,3,,4,2,,,,10
22 February 2023,Business Post,Red C,998,,17,21,31,4,4,2,,4,3,,,,14
21 February 2023,The Irish Times,Ipsos MRBI,"1,200",,18,22,35,2,4,,,4,,,,,16
14 February 2023,The Sunday Times,Behaviour and Attitudes,921,,24,23,31,2,5,,,5,1,,,,9
3 February 2023,Sunday Independent,Ireland Thinks,"1,212",,18,22,31,4,4,4,,4,3,,,,10
25 January 2023,Business Post,Red C,"1,004",,15,21,33,6,4,2,,4,3,,,,12
17 January 2023,The Sunday Times,Behaviour and Attitudes,936,,25,19,34,2,4,1,,5,2,,,,8
6 January 2023,Sunday Independent,Ireland Thinks,"1,104",,16,25,32,3,3,3,,4,4,,,,10
6 December 2022,The Sunday Times,Behaviour and Attitudes,923,,21,23,34,1,3,,,5,1,,,,12
2 December 2022,Sunday Independent,Ireland Thinks,"1,352",,17,23,34,5,3,4,,3,3,,,,9
23 November 2022,Business Post,Red C,"1,000",,15,24,31,4,4,2,,5,3,,,,11
8 November 2022,The Sunday Times,Behaviour and Attitudes,923,,23,21,34,2,5,1,,4,1,,,,9
4 November 2022,Sunday Independent,Ireland Thinks,"1,002",,17,21,34,4,3,4,,3,5,,,,10
25 October 2022,The Irish Times,Ipsos MRBI,"1,200",,21,22,35,3,3,1,,4,2,,,,10
15 October 2022,The Sunday Times,Behaviour and Attitudes,931,,22,21,34,2,6,0,,4,2,,,,9
1 October 2022,Sunday Independent,Ireland Thinks,"1,254",,17,21,37,3,3,3,,4,4,,,,8
6 September 2022,Business Post,Red C,"1,004",,17,18,35,4,4,2,,5,3,,,,12
6 September 2022,The Sunday Times,Behaviour and Attitudes,905,,24,20,35,3,4,0,,5,2,,,,8
3 September 2022,Sunday Independent,Ireland Thinks,"1,127",,16,21,36,4,3,3,,2,5,,,,11
6 August 2022,Sunday Independent,Ireland Thinks,"1,180",,17,22,36,4,3,3,,4,4,,,,9
12 July 2022,The Irish Times,Ipsos MRBI,"1,200",,20,18,36,2,4,1,,3,3,,,,14
1 July 2022,Sunday Independent,Ireland Thinks,"1,133",,15,22,36,3,4,3,,4,3,,,,10
22 June 2022,Business Post,Red C,"1,004",,14,19,36,4,3,3,,4,4,,,,12
7 June 2022,The Sunday Times,Behaviour and Attitudes,,,22,23,37,0,5,1,,4,1,,,,8
4 June 2022,Sunday Independent,Ireland Thinks,"1,211",,17,20,35,5,4,3,,3,3,,,,8
25 May 2022,Business Post,Red C,"1,000",,15,20,36,4,3,2,,5,3,,,,11
10 May 2022,The Sunday Times,Behaviour and Attitudes,908,,24,19,36,2,5,1,,2,2,,,,9
7 May 2022,Sunday Independent,Ireland Thinks,"1,002",,16,23,34,4,4,3,,3,4,,,,8
27 April 2022,Business Post,Red C,"1,014",,16,21,34,5,4,2,,4,3,,,,11
1 April 2022,Sunday Independent,Ireland Thinks,"1,135",,18,22,33,6,4,3,,3,2,,,,10
23 March 2022,Business Post,Red C,"1,001",,16,19,33,5,5,2,,5,3,,,,12
8 March 2022,The Sunday Times,Behaviour and Attitudes,928,,23,24,33,1,3,1,,4,2,,,,9
4 March 2022,Sunday Independent,Ireland Thinks,"1,011",,20,21,31,6,3,2,,4,4,,,,9
23 February 2022,Business Post,Red C,"1,001",,17,20,33,4,4,2,,5,3,,,,11
8 February 2022,The Sunday Times,Behaviour and Attitudes,922,,25,20,34,2,4,0,,5,1,,,,9
5 February 2022,Sunday Independent,Ireland Thinks,"1,086",,17,23,32,5,3,3,,4,3,,,,10
26 January 2022,Business Post,Red C,"1,001",,15,21,33,5,4,2,,6,2,,,,12
18 January 2022,The Sunday Times,Behaviour and Attitudes,,,24,22,34,1,4,0,,3,2,,,,10
8 January 2022,Sunday Independent,Ireland Thinks,"1,369",,19,23,33,4,4,2,,3,3,,,,9
12 December 2021,Irish Mail on Sunday,Ireland Thinks,,,17,25,31,3,4,3,,4,4,,,,9
8 December 2021,The Sunday Times,Behaviour and Attitudes,933,,23,20,34,2,5,0,,5,1,,,,9
8 December 2021,The Irish Times,Ipsos MRBI,"1,200",,20,20,35,2,4,1,,5,2,,,,10
25 November 2021,Business Post,Red C,"1,001",,15,22,33,5,4,2,,5,2,,,,10
14 November 2021,Irish Mail on Sunday,Ireland Thinks,,,17,24,32,4,5,3,,5,3,,,,7
