constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,yes,Yes,FALSE,Yes,"13,768",running,1,753730,"50,179","49,503",676,"117,528"
Carlow-Kilkenny,1,no,No,FALSE,No,"35,735",elected,1,753730,"50,179","49,503",676,"117,528"
Cavan-Monaghan,1,yes,Yes,FALSE,Yes,"9,038",running,1,753730,"48,761","48,204",557,"108,812"
Cavan-Monaghan,1,no,No,FALSE,No,"39,166",elected,1,753730,"48,761","48,204",557,"108,812"
Clare,1,yes,Yes,FALSE,Yes,"10,131",running,1,753730,"39,654","39,110",544,"90,101"
Clare,1,no,No,FALSE,No,"28,979",elected,1,753730,"39,654","39,110",544,"90,101"
Cork East,1,yes,Yes,FALSE,Yes,"9,619",running,1,753730,"38,382","37,939",443,"90,343"
Cork East,1,no,No,FALSE,No,"28,320",elected,1,753730,"38,382","37,939",443,"90,343"
Cork North-Central,1,yes,Yes,FALSE,Yes,"8,687",running,1,753730,"36,646","36,127",519,"86,075"
Cork North-Central,1,no,No,FALSE,No,"27,440",elected,1,753730,"36,646","36,127",519,"86,075"
Cork North-West,1,yes,Yes,FALSE,Yes,"8,335",running,1,753730,"31,860","31,552",308,"71,326"
Cork North-West,1,no,No,FALSE,No,"23,217",elected,1,753730,"31,860","31,552",308,"71,326"
Cork South-Central,1,yes,Yes,FALSE,Yes,"11,838",running,1,753730,"40,481","40,073",408,"89,739"
Cork South-Central,1,no,No,FALSE,No,"28,235",elected,1,753730,"40,481","40,073",408,"89,739"
Cork South-West,1,yes,Yes,FALSE,Yes,"8,943",running,1,753730,"28,742","28,429",313,"67,187"
Cork South-West,1,no,No,FALSE,No,"19,486",elected,1,753730,"28,742","28,429",313,"67,187"
Donegal,1,yes,Yes,FALSE,Yes,"7,834",running,1,753730,"49,366","48,864",502,"123,452"
Donegal,1,no,No,FALSE,No,"41,030",elected,1,753730,"49,366","48,864",502,"123,452"
Dublin Bay North,1,yes,Yes,FALSE,Yes,"15,559",running,1,753730,"53,426","52,668",758,"105,369"
Dublin Bay North,1,no,No,FALSE,No,"37,109",elected,1,753730,"53,426","52,668",758,"105,369"
Dublin Bay South,1,yes,Yes,FALSE,Yes,"11,454",running,1,753730,"27,954","27,671",283,"71,395"
Dublin Bay South,1,no,No,FALSE,No,"16,217",elected,1,753730,"27,954","27,671",283,"71,395"
Dublin Central,1,yes,Yes,FALSE,Yes,"7,013",running,1,753730,"23,346","22,997",349,"54,330"
Dublin Central,1,no,No,FALSE,No,"15,984",elected,1,753730,"23,346","22,997",349,"54,330"
Dublin Fingal,1,yes,Yes,FALSE,Yes,"14,695",running,1,753730,"47,541","47,086",455,"101,393"
Dublin Fingal,1,no,No,FALSE,No,"32,391",elected,1,753730,"47,541","47,086",455,"101,393"
Dublin Mid-West,1,yes,Yes,FALSE,Yes,"7,525",running,1,753730,"35,076","34,726",350,"73,673"
Dublin Mid-West,1,no,No,FALSE,No,"27,201",elected,1,753730,"35,076","34,726",350,"73,673"
