election,constituency,party,votes,seats
2019,Belfast East,DUP,23917,1
2019,Belfast East,AP,15443,
2019,Belfast East,UUP,1408,
2019,Belfast East,SF,894,
2019,Belfast East,GP,561,
2019,Belfast East,CON,446,
2019,Belfast East,SDLP,167,
2019,Belfast East,IND,54,
2019,Belfast North,DUP,21240,1
2019,Belfast North,SF,19159,
2019,Belfast North,AP,2475,
2019,Belfast North,SDLP,2058,
2019,Belfast North,GP,644,
2019,Belfast North,WP,360,
2019,Belfast South,DUP,13299,1
2019,Belfast South,SDLP,11303,
2019,Belfast South,AP,7946,
2019,Belfast South,SF,7143,
2019,Belfast South,GP,2241,
2019,Belfast South,UUP,1527,
2019,Belfast South,CON,246,
2019,Belfast West,SF,27107,1
2019,Belfast West,DUP,5455,
2019,Belfast West,PBP,4132,
2019,Belfast West,SDLP,2860,
2019,Belfast West,AP,731,
2019,Belfast West,WP,348,
2019,East Antrim,DUP,21873,1
2019,East Antrim,AP,5950,
2019,East Antrim,UUP,4524,
2019,East Antrim,SF,3555,
2019,East Antrim,SDLP,1278,
2019,East Antrim,CON,963,
2019,East Derry,DUP,19723,1
2019,East Derry,SF,10881,
2019,East Derry,SDLP,4423,
2019,East Derry,UUP,3135,
2019,East Derry,AP,2538,
2019,East Derry,CON,330,
2019,Fermanagh and South Tyrone,SF,25230,1
2019,Fermanagh and South Tyrone,UUP,24355,
2019,Fermanagh and South Tyrone,SDLP,2587,
2019,Fermanagh and South Tyrone,AP,886,
2019,Fermanagh and South Tyrone,GP,423,
2019,Foyle,SF,18256,1
2019,Foyle,SDLP,18087,
2019,Foyle,DUP,7398,
2019,Foyle,PBP,1377,
2019,Foyle,AP,847,
2019,Lagan Valley,DUP,26762,1
2019,Lagan Valley,UUP,7533,
2019,Lagan Valley,AP,4996,
2019,Lagan Valley,SDLP,3384,
2019,Lagan Valley,SF,1597,
2019,Lagan Valley,CON,462,
2019,Lagan Valley,IND,222,
2019,Mid Ulster,SF,25455,1
2019,Mid Ulster,DUP,12565,
2019,Mid Ulster,SDLP,4563,
2019,Mid Ulster,UUP,3017,
2019,Mid Ulster,AP,1094,
2019,Newry and Armagh,SF,25666,1
2019,Newry and Armagh,DUP,13177,
2019,Newry and Armagh,SDLP,9055,
2019,Newry and Armagh,UUP,4425,
2019,Newry and Armagh,AP,1256,
2019,North Antrim,DUP,28521,1
2019,North Antrim,SF,7878,
2019,North Antrim,UUP,3482,
2019,North Antrim,TUV,3282,
2019,North Antrim,AP,2723,
2019,North Antrim,SDLP,2574,
2019,North Down,INDU,16148,1
2019,North Down,DUP,14940,
2019,North Down,AP,3639,
2019,North Down,GP,2549,
2019,North Down,CON,941,
2019,North Down,SF,531,
2019,North Down,SDLP,400,
2019,North Down,IND,37,
2019,South Antrim,DUP,16508,1
2019,South Antrim,UUP,13300,
2019,South Antrim,SF,7797,
2019,South Antrim,AP,3203,
2019,South Antrim,SDLP,2362,
2019,South Down,SF,20328,1
2019,South Down,SDLP,17882,
2019,South Down,DUP,8867,
2019,South Down,UUP,2002,
2019,South Down,AP,1814,
2019,Strangford,DUP,24036,1
2019,Strangford,AP,5693,
2019,Strangford,UUP,4419,
2019,Strangford,SDLP,2404,
2019,Strangford,SF,1083,
2019,Strangford,GP,607,
2019,Strangford,CON,507,
2019,Upper Bann,DUP,22317,1
2019,Upper Bann,SF,14325,
2019,Upper Bann,UUP,7900,
2019,Upper Bann,SDLP,4397,
2019,Upper Bann,AP,2319,
2019,West Tyrone,SF,22060,1
2019,West Tyrone,DUP,11718,
2019,West Tyrone,SDLP,5635,
2019,West Tyrone,UP,2253,
2019,West Tyrone,AP,1000,
2019,West Tyrone,GP,427,
2019,West Tyrone,CISTA,393,
