constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Kerry South,1,no,No,FALSE,No,"14,831",running,1,"967,954","33,476","33,188",288,"57,524"
Kildare North,1,yes,Yes,FALSE,Yes,"33,960",elected,1,"967,954","49,029","48,742",287,"79,014"
Kildare North,1,no,No,FALSE,No,"14,782",running,1,"967,954","49,029","48,742",287,"79,014"
Kildare South,1,yes,Yes,FALSE,Yes,"23,199",elected,1,"967,954","35,272","35,060",212,"60,384"
Kildare South,1,no,No,FALSE,No,"11,861",running,1,"967,954","35,272","35,060",212,"60,384"
Laois-Offaly,1,yes,Yes,FALSE,Yes,"35,685",elected,1,"967,954","63,297","62,820",477,"108,436"
Laois-Offaly,1,no,No,FALSE,No,"27,135",running,1,"967,954","63,297","62,820",477,"108,436"
Limerick,1,yes,Yes,FALSE,Yes,"20,322",elected,1,"967,954","37,504","37,119",385,"64,100"
Limerick,1,no,No,FALSE,No,"16,797",running,1,"967,954","37,504","37,119",385,"64,100"
Limerick City,1,yes,Yes,FALSE,Yes,"24,789",elected,1,"967,954","38,881","38,644",237,"61,421"
Limerick City,1,no,No,FALSE,No,"13,855",running,1,"967,954","38,881","38,644",237,"61,421"
Longford-Westmeath,1,yes,Yes,FALSE,Yes,"25,445",elected,1,"967,954","47,879","47,470",409,"87,425"
Longford-Westmeath,1,no,No,FALSE,No,"22,025",running,1,"967,954","47,879","47,470",409,"87,425"
Louth,1,yes,Yes,FALSE,Yes,"38,758",elected,1,"967,954","61,450","61,071",379,"102,561"
Louth,1,no,No,FALSE,No,"22,313",running,1,"967,954","61,450","61,071",379,"102,561"
Mayo,1,yes,Yes,FALSE,Yes,"28,801",elected,1,"967,954","55,929","55,367",562,"97,296"
Mayo,1,no,No,FALSE,No,"26,566",running,1,"967,954","55,929","55,367",562,"97,296"
Meath East,1,yes,Yes,FALSE,Yes,"24,525",elected,1,"967,954","38,767","38,550",217,"64,956"
Meath East,1,no,No,FALSE,No,"14,025",running,1,"967,954","38,767","38,550",217,"64,956"
Meath West,1,yes,Yes,FALSE,Yes,"21,374",elected,1,"967,954","35,821","35,563",258,"63,649"
Meath West,1,no,No,FALSE,No,"14,189",running,1,"967,954","35,821","35,563",258,"63,649"
Roscommon-South Leitrim,1,yes,Yes,FALSE,Yes,"17,615",elected,1,"967,954","36,522","36,259",263,"59,392"
Roscommon-South Leitrim,1,no,No,FALSE,No,"18,644",running,1,"967,954","36,522","36,259",263,"59,392"
Sligo-North Leitrim,1,yes,Yes,FALSE,Yes,"19,043",elected,1,"967,954","35,842","35,545",297,"62,031"
Sligo-North Leitrim,1,no,No,FALSE,No,"16,502",running,1,"967,954","35,842","35,545",297,"62,031"
Tipperary North,1,yes,Yes,FALSE,Yes,"22,077",elected,1,"967,954","40,725","40,375",350,"65,118"
Tipperary North,1,no,No,FALSE,No,"18,298",running,1,"967,954","40,725","40,375",350,"65,118"
Tipperary South,1,yes,Yes,FALSE,Yes,"19,203",elected,1,"967,954","34,539","34,215",324,"58,262"
Tipperary South,1,no,No,FALSE,No,"15,012",running,1,"967,954","34,539","34,215",324,"58,262"
Waterford,1,yes,Yes,FALSE,Yes,"28,313",elected,1,"967,954","47,297","46,933",364,"79,669"
Waterford,1,no,No,FALSE,No,"18,620",running,1,"967,954","47,297","46,933",364,"79,669"
Wexford,1,yes,Yes,FALSE,Yes,"40,692",elected,1,"967,954","64,450","63,990",460,"111,474"
Wexford,1,no,No,FALSE,No,"23,298",running,1,"967,954","64,450","63,990",460,"111,474"
Wicklow,1,yes,Yes,FALSE,Yes,"44,059",elected,1,"967,954","64,830","64,443",387,"94,275"
Wicklow,1,no,No,FALSE,No,"20,384",running,1,"967,954","64,830","64,443",387,"94,275"
