election,constituency,party,votes,seats
2010,Belfast East,AP,12839,1
2010,Belfast East,DUP,11306,
2010,Belfast East,UUP,7305,
2010,Belfast East,TUV,1856,
2010,Belfast East,SF,817,
2010,Belfast East,SDLP,365,
2010,Belfast North,DUP,14812,1
2010,Belfast North,SF,12588,
2010,Belfast North,SDLP,4544,
2010,Belfast North,UUP,2837,
2010,Belfast North,AP,1809,
2010,Belfast North,IND,403,
2010,Belfast South,SDLP,14026,1
2010,Belfast South,DUP,8100,
2010,Belfast South,UUP,5910,
2010,Belfast South,AP,5114,
2010,Belfast South,Green,1036,
2010,Belfast West,SF,22840,1
2010,Belfast West,SDLP,5261,
2010,Belfast West,DUP,2436,
2010,Belfast West,UUP,1000,
2010,Belfast West,AP,596,
2010,East Antrim,DUP,13993,1
2010,East Antrim,UUP,7223,
2010,East Antrim,AP,3377,
2010,East Antrim,SF,2064,
2010,East Antrim,SDLP,2019,
2010,East Antrim,TUV,1826,
2010,East Derry,DUP,12097,1
2010,East Derry,SF,6742,
2010,East Derry,UUP,6218,
2010,East Derry,SDLP,5399,
2010,East Derry,TUV,2572,
2010,East Derry,AP,1922,
2010,Fermanagh and South Tyrone,SF,21304,1
2010,Fermanagh and South Tyrone,UUP,21300,
2010,Fermanagh and South Tyrone,SDLP,3574,
2010,Fermanagh and South Tyrone,AP,437,
2010,Fermanagh and South Tyrone,IND,188,
2010,Foyle,SDLP,16922,1
2010,Foyle,SF,12098,
2010,Foyle,DUP,4489,
2010,Foyle,PBPA,2936,
2010,Foyle,UUP,1221,
2010,Foyle,AP,223,
2010,Lagan Valley,DUP,18199,1
2010,Lagan Valley,UUP,7713,
2010,Lagan Valley,AP,4174,
2010,Lagan Valley,TUV,3154,
2010,Lagan Valley,SDLP,1835,
2010,Lagan Valley,SF,1465,
2010,Mid Ulster,SF,21239,1
2010,Mid Ulster,DUP,5876,
2010,Mid Ulster,SDLP,5826,
2010,Mid Ulster,UUP,4509,
2010,Mid Ulster,TUV,2995,
2010,Mid Ulster,AP,397,
2010,Newry and Armagh,SF,18857,1
2010,Newry and Armagh,SDLP,10526,
2010,Newry and Armagh,,8558,
2010,Newry and Armagh,DUP,5764,
2010,Newry and Armagh,,656,
2010,Newry and Armagh,AP,545,
2010,North Antrim,DUP,19672,1
2010,North Antrim,TUV,7114,
2010,North Antrim,SF,5265,
2010,North Antrim,UUP,4634,
2010,North Antrim,SDLP,3738,
2010,North Antrim,AP,1368,
2010,North Antrim,IND,606,
2010,North Down,INDU,21181,1
2010,North Down,UUP,6817,
2010,North Down,AP,1876,
2010,North Down,TUV,1634,
2010,North Down,Green,1043,
2010,North Down,SDLP,680,
2010,North Down,SF,250,
2010,South Antrim,DUP,11536,1
2010,South Antrim,UUP,10353,
2010,South Antrim,SF,4729,
2010,South Antrim,SDLP,2955,
2010,South Antrim,AP,2607,
2010,South Antrim,TUV,1829,
2010,South Down,SDLP,20648,1
2010,South Down,SF,12236,
2010,South Down,DUP,3645,
2010,South Down,UUP,3093,
2010,South Down,TUV,1506,
2010,South Down,Green,901,
2010,South Down,AP,560,
2010,Strangford,DUP,14926,1
2010,Strangford,UUP,9050,
2010,Strangford,AP,2828,
2010,Strangford,SDLP,2164,
2010,Strangford,TUV,1814,
2010,Strangford,SF,1161,
2010,Strangford,Green,562,
2010,Upper Bann,DUP,14000,1
2010,Upper Bann,UUP,10639,
2010,Upper Bann,SF,10237,
2010,Upper Bann,SDLP,5276,
2010,Upper Bann,AP,1231,
2010,West Tyrone,SF,18050,1
2010,West Tyrone,DUP,7365,
2010,West Tyrone,UUP,5281,
2010,West Tyrone,SDLP,5212,
2010,West Tyrone,AP,859,
2010,West Tyrone,IND,508,
